id,modal,rule_text_short,file_line,resolved_value_now,label,effect,enforced_where,conforms
A1a,MUST,"reasoning MUST state the bias-tree branch it took",kernel/planner_prompt.go:157 + :715,"6 branches rendered (was 3 at census)",T,advisory,"NO validator anywhere (grep bias-tree = prompt only)",overclaim
A1b,ONLY,"branch 5: longs ONLY below the 50% mark of the dealing range; shorts ONLY above",kernel/planner_prompt.go:162 + :183-189,"dealing range = PDH/PDL; VA fallback",I,advisory,"TreeCallWord:243-248 uses it for a LABEL word only; :619 says 'labels only no MUST on either'",overclaim
A2,advisory,"NY AM primary window; premium FVG window",kernel/planner_prompt.go:653-656,"NY AM 07:30-10:00 CT; premium 09:00-10:00 CT (ETtoCT of 08:30-11:00 / 10:00-11:00 ET)",I,advisory,none,"NO - 07:30-08:30 CT of the 'primary window' is outside the NY session (08:30-14:45 CT)"
A3,advisory,"Conviction: down on Monday, up Thursday/Friday",kernel/planner_prompt.go:656,verbatim unchanged,I,advisory,none,"unknown - no day-of-week study exists in any report"
A4,advisory,"acceptance entries WITHOUT a prior sweep + displacement are 0% win evidence - skip them",kernel/planner_prompt.go:659-660,"literal 0%, no n stated",T,advisory,"no validator; entry law separately forces acceptance -> time_hold|1x5m_close","NO - own tape acceptance n=6 win 16.7% sum +4.6"
A5,gate,"T1 red-news +/-15m HARD no-trade",kernel/calendar_blackout.go:14 (T1BlackoutMinutes=15),15 minutes,O,gate,"trader/auto_trader_session.go:125 InT1Blackout",yes
A6,gate,"lunch 12:00-13:30 CT + first-5m no-trade",trader/auto_trader_session.go:117 and :120,"first_n=5m lunch=12:00-13:30 CT",O,gate,"sessionGateDecision -> auto_trader_session.go:47",yes
A7,MUST,"MUST include at least ONE HTF zone row as confluence never a standalone trigger",kernel/planner_prompt.go:687 (+:690 1h S/D),"conditional: only when HTFZones non-empty",O,advisory,"no validator - prompt-contract text only",overclaim
A8,MUST,"scenario MIX must follow regime+day_type; below PDL a SHORT-direction scenario",kernel/planner_prompt.go:707 + :714,"class-45: DIRECTION not condition",I,"REJECT (direction half only)","kernel/plan_doc.go:892-896 hasDirection",partial - MIX half unenforced
A9,default,"entry_mode=ce is the DEFAULT; edge only for A-grade HTF-confluent origins",kernel/planner_prompt.go:626,"ce_width=20pt (FVG_CE_WIDTH_PTS)",X,"REJECT (opposite direction)","kernel/fvg_entry.go:187-189 rejects ce when gap <= 20pt","NO - contradicts :756 'ce for gaps > 20pts' and the validator"
A10,contract,"resting limits fill at the authorized price; stale_reeval NOT applied",trader/auto_trader_dayplan.go:64 + trader/armed_executor.go:1183,"armed_orders=on place_band=100t stale_working=15m arm_rr=2.0",O,gate semantics,"trader/auto_trader_loop.go:798-806 skips stale_reeval for armed_fill",yes
A11,gate,"never author on a provably-broken clock (F6)",kernel/clock_drift.go:166 ClockHoldDecision,"defer iff drift<0 AND |drift|>C2 tolerance; positive drift never defers",R,gate,"trader/auto_trader_planner.go:875-877 clockHoldAuthoring",yes
X1,MUST,"arm{} MUST be gate-feasible - stop distance >= 1.0x the current 5m ATR",kernel/planner_prompt.go:733 (+:752 'min-SL >= 1.0xATR5m'),"MIN_SL_ATR_MULT resolved = 1.5 (kernel/min_sl.go:34; 26/26 planner_read_facts rows)",O,"REJECT at the arm/entry gate","kernel/min_sl.go:56 MinSLVerdict; trader/entry_gate.go","NO - prompt 1.0 vs resolved 1.5"
X2,MUST,"levels MUST include >=3 below AND >=3 above the current price",kernel/planner_prompt.go:696,"validator floor is >=1 per side",O,"REJECT only at 0","kernel/plan_doc.go:886,889","NO - prompt 3 vs enforced 1 (per-side COUNT deleted by owner ruling 2026-08-31)"
X3,MUST,"ARMS FOLLOW THE BIAS - every bias-direction scenario with a trigger price MUST carry an arm; a long plan with no long arm is invalid",kernel/planner_prompt.go:730,"WARN-first by design (kernel/arms_bias_coherent.go:9-16)",O,"NONE - DEAD","kernel/arms_bias_coherent.go:74 BiasArmWarning has 0 production callers","NO - prompt says invalid; machine does nothing"
X4,contract,"R:R must be >= 2.0 (ARM_MIN_RR)",kernel/planner_prompt.go:733,"2.0 via store.ResolveMinRiskReward; ARM_MIN_RR env DELETED (trader/armed_executor.go:60-62)",O,"REJECT at gate-at-arm","trader/armed_executor.go:1343",value yes / source-name NO
X5,evidence,"reject best in NY RTH (75% win +665 this week); acceptance 0% win; sweep_reclaim 0% win",kernel/planner_prompt.go:737,"frozen literals from week ending 2026-08-26",X,advisory,none,"NO - own tape: reject 45.2%/+586 n=31 (NY 58.3% n=12 < LONDON 62.5% n=8); acceptance 16.7% n=6; sweep_reclaim 16.7% n=6"
X6,ONLY,"arm{} legal ONLY on fvg_entry|reject|breakdown_continue|breakup_continue ... reclaim NEVER arms",kernel/planner_prompt.go:697,"reclaim IS armable since 2026-09-04 (kernel/armed.go:23)",O,"REJECT (stale list)","ArmSpecValid:162 uses ArmableCondition which now includes reclaim","NO - contradicted by the SAME prompt at :731 'reclaim->stop_entry ARMABLE + LIVE'"
X7,ONLY,"author fvg_entry ONLY from the FRESH FVGs list; if empty do NOT author any",kernel/planner_prompt.go:483 + :716,"fvg_entry resolved status = SHADOW (kernel/condition_status.go:27)",X,"REJECT at write; arm seam refuses","kernel/fvg_entry.go:156 ValidateFvgEntryScenarios @ auto_trader_planner.go:1700","authoring yes / demand line contradicted by the 08-26 study"
X8,NEVER,"A T2 caution event is NEVER added to no_trade",kernel/no_trade_band.go:264,"model no_trade renders as NOTES only (plan_doc.go:285-296)",O,label/inert,"no validator - NoTradeWindows are machine-written",inert by design
