ts_ct,path,session,scenario,leg,knob,knob_value,numbers,entry_px,stop_px,target_px,cf_touched,cf_outcome,cf_pts,cf_usd,cf_time_ct,cf_horizon_session_flat,cf_outcome_cme,cf_pts_cme,cf_usd_cme,cf_time_cme,cf_horizon_cme_day,cf_fill_ct,decision_cycle,evidence_cmd
2026-09-02 01:51:52,decision,ASIA,S2,last_entry_cutoff (P2.3),day_plan last_entry (ASIA),01:45 CT (ASIA window),"decision at 01:51:52 CT, 6m past the ASIA last-entry 01:45 CT",29065.5,29034.75,29128.25,yes(market),FLAT_AT_HORIZON,11.25,22.5,2026-09-02 01:59,2026-09-02 02:00,STOP,-30.75,-61.5,2026-09-02 03:43,2026-09-02 17:00,2026-09-02 01:51,26242,"sqlite3 ... decision_records id=36164 risk_check_error ; grep -n ""last-entry cutoff"" nofx_2026-09-02.log (line 3539)"
2026-09-02 07:27:51,decision,LONDON,,min_sl (validateDecision A3),MIN_SL_ATR_MULT,1.0 (READ from the boot line 'min-sl guard: atr_mult=1.0 level_clearance=2tick(s)' 09-02 00:01:07 CT ; env MIN_SL_ATR_MULT unset),dist=22.2 pts vs 1.0x ATR5m 29.8 = 29.8; R:R 2.2 PASSED first,29122.25,29100.0,29171.25,yes(market),STOP,-22.25,-44.5,2026-09-02 07:31,2026-09-02 08:30,STOP,-22.25,-44.5,2026-09-02 07:31,2026-09-02 17:00,2026-09-02 07:27,26408,"grep -n ""MIN-SL REJECT"" /home/hoang/nofx/data/nofx_2026-09-02.log /home/hoang/nofx/data/nofx_2026-09-03.log | prices from the paired 218 R:R eval 219 line at the same second (kernel/engine_position.go:187)"
2026-09-02 08:36:05,decision,NY,,min_sl (validateDecision A3),MIN_SL_ATR_MULT,1.5 (READ from the boot line 'min-sl guard: atr_mult=1.5 level_clearance=2tick(s)' ; raised at the 09-02 07:49:06 CT boot rev 4175e0b62de7 ; env MIN_SL_ATR_MULT unset),dist=40.2 pts vs 1.5x ATR5m 27.3 = 40.95; R:R 2.31 PASSED first,29078.25,29038.0,29171.25,yes(market),STOP,-40.25,-80.5,2026-09-02 08:37,2026-09-02 14:45,STOP,-40.25,-80.5,2026-09-02 08:37,2026-09-02 17:00,2026-09-02 08:36,26441,"grep -n ""MIN-SL REJECT"" /home/hoang/nofx/data/nofx_2026-09-02.log /home/hoang/nofx/data/nofx_2026-09-03.log | prices from the paired 218 R:R eval 219 line at the same second (kernel/engine_position.go:187)"
2026-09-02 09:27:13,decision,NY,,min_sl (validateDecision A3),MIN_SL_ATR_MULT,1.5 (READ from the boot line 'min-sl guard: atr_mult=1.5 level_clearance=2tick(s)' ; raised at the 09-02 07:49:06 CT boot rev 4175e0b62de7 ; env MIN_SL_ATR_MULT unset),dist=34.8 pts vs 1.5x ATR5m 37.4 = 56.1; R:R 2.11 PASSED first,29173.0,29138.25,29246.25,yes(market),STOP,-34.75,-69.5,2026-09-02 09:53,2026-09-02 14:45,STOP,-34.75,-69.5,2026-09-02 09:53,2026-09-02 17:00,2026-09-02 09:27,26466,"grep -n ""MIN-SL REJECT"" /home/hoang/nofx/data/nofx_2026-09-02.log /home/hoang/nofx/data/nofx_2026-09-03.log | prices from the paired 218 R:R eval 219 line at the same second (kernel/engine_position.go:187)"
2026-09-02 09:33:16,decision,NY,,min_sl (validateDecision A3),MIN_SL_ATR_MULT,1.5 (READ from the boot line 'min-sl guard: atr_mult=1.5 level_clearance=2tick(s)' ; raised at the 09-02 07:49:06 CT boot rev 4175e0b62de7 ; env MIN_SL_ATR_MULT unset),dist=26.5 pts vs 1.5x ATR5m 37.1 = 55.65; R:R 2.4 PASSED first,29182.75,29156.25,29246.25,yes(market),STOP,-26.5,-53.0,2026-09-02 09:49,2026-09-02 14:45,STOP,-26.5,-53.0,2026-09-02 09:49,2026-09-02 17:00,2026-09-02 09:33,26469,"grep -n ""MIN-SL REJECT"" /home/hoang/nofx/data/nofx_2026-09-02.log /home/hoang/nofx/data/nofx_2026-09-03.log | prices from the paired 218 R:R eval 219 line at the same second (kernel/engine_position.go:187)"
2026-09-02 09:40:09,decision,NY,,min_sl (validateDecision A3),MIN_SL_ATR_MULT,1.5 (READ from the boot line 'min-sl guard: atr_mult=1.5 level_clearance=2tick(s)' ; raised at the 09-02 07:49:06 CT boot rev 4175e0b62de7 ; env MIN_SL_ATR_MULT unset),dist=22.0 pts vs 1.5x ATR5m 37.0 = 55.5; R:R 2.92 PASSED first,29182.0,29160.0,29246.25,yes(market),STOP,-22.0,-44.0,2026-09-02 09:48,2026-09-02 14:45,STOP,-22.0,-44.0,2026-09-02 09:48,2026-09-02 17:00,2026-09-02 09:40,26472,"grep -n ""MIN-SL REJECT"" /home/hoang/nofx/data/nofx_2026-09-02.log /home/hoang/nofx/data/nofx_2026-09-03.log | prices from the paired 218 R:R eval 219 line at the same second (kernel/engine_position.go:187)"
2026-09-02 09:55:01,arm,NY,S1,rr (armGateVerdictFor),min_risk_reward_ratio,2.00 (EXPLICIT saved value: strategies.a5b7662e config.ai_config.risk_control.min_risk_reward_ratio=2 ; confirmed live by the boot line 'armed_orders=on ... arm_rr=2.0 (gate-at-arm only; market-entry floor 2.0 unchanged)'),"R:R 0.95 (recomputed 0.951) < 2.00 ; entry 29135.65 composed stop 29058.25 target 29209.25 ; stop composition: anchor PDC 29058.75 -> beyond 29058.25 (authored 29099.00 WIDENED), bound=anchor",29135.65,29058.25,29209.25,yes,FLAT_AT_HORIZON,39.35,78.7,2026-09-02 14:44,2026-09-02 14:45,TARGET,73.6,147.2,2026-09-02 15:06,2026-09-02 17:00,2026-09-02 09:55,,"grep -n ""arm REFUSED"" nofx_2026-09-02.log nofx_2026-09-03.log ; grep ""arm stop <SESS> <SC> leg 1"" for the COMPOSED stop ; sqlite3 ""SELECT doc FROM plans WHERE plan_id=<pid> AND version=<v>"" for arm entry/target"
2026-09-02 10:25:01,arm,NY,S3,rr (armGateVerdictFor),min_risk_reward_ratio,2.00 (EXPLICIT saved value: strategies.a5b7662e config.ai_config.risk_control.min_risk_reward_ratio=2 ; confirmed live by the boot line 'armed_orders=on ... arm_rr=2.0 (gate-at-arm only; market-entry floor 2.0 unchanged)'),"R:R 1.74 (recomputed 1.735) < 2.00 ; entry 29058.75 composed stop 29009.64 target 29143.97 ; stop composition: atr_floor 29009.64 (1.5xATR5m 32.74), authored 29020.00 WIDENED, bound=atr_floor",29058.75,29009.64,29143.97,no,NEVER_FILLED,0.0,0.0,,2026-09-02 14:45,NEVER_FILLED,0.0,0.0,,2026-09-02 17:00,,,"grep -n ""arm REFUSED"" nofx_2026-09-02.log nofx_2026-09-03.log ; grep ""arm stop <SESS> <SC> leg 1"" for the COMPOSED stop ; sqlite3 ""SELECT doc FROM plans WHERE plan_id=<pid> AND version=<v>"" for arm entry/target"
2026-09-02 10:34:48,decision,NY,,min_sl (validateDecision A3),MIN_SL_ATR_MULT,1.5 (READ from the boot line 'min-sl guard: atr_mult=1.5 level_clearance=2tick(s)' ; raised at the 09-02 07:49:06 CT boot rev 4175e0b62de7 ; env MIN_SL_ATR_MULT unset),dist=26.0 pts vs 1.5x ATR5m 34.8 = 52.2; R:R 2.0 PASSED first,29196.5,29170.5,29248.5,yes(market),STOP,-26.0,-52.0,2026-09-02 10:45,2026-09-02 14:45,STOP,-26.0,-52.0,2026-09-02 10:45,2026-09-02 17:00,2026-09-02 10:34,26500,"grep -n ""MIN-SL REJECT"" /home/hoang/nofx/data/nofx_2026-09-02.log /home/hoang/nofx/data/nofx_2026-09-03.log | prices from the paired 218 R:R eval 219 line at the same second (kernel/engine_position.go:187)"
2026-09-02 10:36:09,decision,NY,,min_sl (validateDecision A3),MIN_SL_ATR_MULT,1.5 (READ from the boot line 'min-sl guard: atr_mult=1.5 level_clearance=2tick(s)' ; raised at the 09-02 07:49:06 CT boot rev 4175e0b62de7 ; env MIN_SL_ATR_MULT unset),dist=50.8 pts vs 1.5x ATR5m 34.8 = 52.2; R:R 2.0 PASSED first,29196.5,29145.75,29298.25,yes(market),STOP,-50.75,-101.5,2026-09-02 10:49,2026-09-02 14:45,STOP,-50.75,-101.5,2026-09-02 10:49,2026-09-02 17:00,2026-09-02 10:36,26500,"grep -n ""MIN-SL REJECT"" /home/hoang/nofx/data/nofx_2026-09-02.log /home/hoang/nofx/data/nofx_2026-09-03.log | prices from the paired 218 R:R eval 219 line at the same second (kernel/engine_position.go:187)"
