knob,live_value,value_source,default_file_line,established_yes_no
day_plan.plan_mode (strict mode; EntryGate leg 0),strict,"saved in strategy ""MNQ"" a5b7662e day_plan.plan_mode=""strict""; resolver store.ResolvePlanMode → SourceStrategyValue (no session override present)",store/resolve_source.go:47 (default "advisory" = SourceShippedDefault),yes
one_open_position (EntryGate leg 7),ON — hardcoded; any open position refuses any open either side; explicit exit legs exempt,"code, no knob (owner ruling 2026-09-03)",trader/entry_gate.go:272 (+ trader/armed_executor.go:623),yes
scenario invalidation (EntryGate leg 3),"ON, ARM PATH ONLY; unresolved verdict = leg PASSES + a note",boot line 23:12:55 CT "🛡 arm gate: invalidation-wired=on · armed-under surfaces=on" (main.go:343 reads trader.ArmGateBootLine()),trader/entry_gate.go:199 (no env/config gate — resolver nil on non-arm paths),yes
risk_control.min_risk_reward_ratio (R:R floor — arm seam AND decision path),2.0,"saved in strategy MNQ (min_risk_reward_ratio: 2); resolver store.ResolveMinRiskReward → SourceSaved. Boot line ""arm_rr=2.0 … market-entry floor 2.0""",store/strategy.go:76 SafeDefaultMinRiskReward = 3.0,yes
EntryGate leg-5 fallback floor (used only when MinRR<=0),3.0,hardcoded fallback inside the gate,trader/entry_gate.go:~253 (`floor = 3.0`),yes
min_sl ATR multiplier (stop floor / EntryGate leg 6),1.5,"env MIN_SL_ATR_MULT UNSET → code default; boot line ""🛑 min-sl guard: atr_mult=1.5""",kernel/min_sl.go:34 MinSLATRMultDefault = 1.5,yes
min_sl level clearance,2 ticks,"code constant; boot line ""level_clearance=2tick(s)""",kernel/min_sl.go:40 MinSLTickClearance = 2,yes
exit stop composition (0B),"stop = max(anchor+clearance, 1.5xATR5m); anchor_max = 3.0xATR5m","boot line 23:12:55 CT: exits: stop=max(anchor+clr, 1.5xATR5m) - anchor_max=3.0xATR5m",main.go:335 (reads kernel.MinSLATRMult()),yes
breakeven,OFF (suspended behind a wire seam by 0B) — DESPITE strategy MNQ carrying breakeven_enabled:true / breakeven_trigger_points:40,boot line "BE=off"; config value overridden,main.go:335,yes
trailing stop,OFF (suspended by 0B) — DESPITE strategy MNQ carrying trailing_enabled:true / trailing_atr_period:14,"boot line ""trail=off""; the 🧾 ledger boot line still narrates trailing=2.0×ATR14 arm=after_breakeven (source: studio) — two boot lines disagree on the same subject",main.go:335,yes (value) / the ledger-line contradiction is a finding
