id,plan_trade_date,exit_day_ct,session,plan_id,plan_version,scenario,condition,scenario_quality,scenario_direction,scenario_trigger,scenario_invalid,target_chain,side,symbol,account,qty,entry_px,entry_ct,exit_px,exit_ct,hold_min,pnl_corrected,realized_pnl,source,close_reason,plan_matched,plan_band,adherence_grade,entry_confidence,stop_initial,stop_final,target,bracket_source,stop_change,risk_pts_at_fill,reward_pts_at_fill,rr_at_fill,rr_gate_min,rr_logged_at_gate,rr_gate_eval_entry,rr_gate_decision_id,entry_slippage_pts,nt8_exit_reason,exit_classification,stop_overshoot_pts,mae_db,mfe_db,mae_audit_1m,mfe_audit_1m,bars_1m_held,trade_excursions_row,post30_fav_vs_exit,post30_adv_vs_exit,post30_best_px,post30_worst_px,post30_best_pnl_if_held,post30_pnl_if_held_to_T30,post60_fav_vs_exit,post60_adv_vs_exit,post60_best_pnl_if_held,post60_pnl_if_held_to_T60,entry_time_caveat
581,2026-09-01,2026-09-01,LONDON,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,reject,A,short,Rally retest of 29477.00 fails — sell the touch,5m close above 29500.21 cancels the fade,29447.5|29435.75|29422.12,SHORT,MNQ,Sim101,1.0,29466.0,2026-09-01 02:52:44,29370.75,2026-09-01 03:06:33,13.8,190.5,190.5,system,sync,1,,A,62,29500.25,29466.0,29380.25,decision_records id=35508 (stop_loss/take_profit),MOVED: auto-breakeven WARN 09-01 03:00:29 '+40.5 pts in profit -> stop moved to breakeven (entry 29466.00)',34.25,85.75,2.504,3.0,3.0,29470.25,35508,4.25,tp,target-hit (NT8 exit_reason=tp),-30.25,2.5,73.5,4.0,110.25,15,ABSENT (table has 0 rows all-time),91.75,4.5,29279.0,29375.25,374.0,339.5,169.75,4.5,530.0,512.0,system path: entry_time is the fill-record time (trader_fills row exists); within ~1s of the ✅ Order filled log line
582,2026-09-01,2026-09-01,LONDON,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,reject,B,short,"If the drop retraces, first touch of 29246.75 SWG-L·5m rejects; short back toward 29212.50 then ONL 29182.00",5m close above 29280.00,29212.5|29186|29182,SHORT,MNQ,Sim101,1.0,29246.75,2026-09-01 05:23:28,29182.0,2026-09-01 06:05:34,42.1,129.5,129.5,armed_entry,sync,0,,D,0,29273.0,29246.75,29182.0,"file log 09-01 04:55:29 '⚔️ armed LONDON S2 leg 1 short limit 29246.75 SL 29273.00 TP 29182.00' — armed_orders row for (LONDON,S2,leg0) was OVERWRITTEN by the v6 re-arm (unique idx plan_id+scenario+leg_index)",MOVED: auto-breakeven WARN 09-01 05:51:28 '+41.0 pts in profit -> stop moved to breakeven (entry 29246.75)',26.25,64.75,2.467,,,,,,tp,target-hit (NT8 exit_reason=tp),-15.0,11.25,69.25,11.25,69.25,43,ABSENT (table has 0 rows all-time),-3.5,43.5,29185.5,29225.5,122.5,65.5,25.0,56.25,179.5,170.5,armed_entry path stamps EntryTime=nowMs at the order_update frame (armed_executor.go:1193) — within seconds of the fill
583,2026-09-01,2026-09-01,LONDON,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S2,sweep_reclaim,B,long,Sweep-reclaim of ONL is intact and price reclaims 29212.50 Demand·1h after holding 29201.25 SWG-L·5m,5m close below 29182.00,29280|29323.92|29354,LONG,MNQ,Sim101,1.0,29213.25,2026-09-01 06:35:04,29172.0,2026-09-01 06:56:47,21.7,-82.5,-82.5,system,sync,1,,B,64,29172.0,29172.0,29354.0,decision_records id=35621,"UNCHANGED — grep of nofx_2026-09-0{1,2,3}.log: 0 auto-breakeven fires and 0 trailing_armed lines on 09-02 and 09-03; the only 2 stop moves all window were 581 and 582",41.25,140.75,3.412,3.0,3.07,29216.75,35621,-3.5,sl,stop-hit (NT8 exit_reason=sl),2.0,43.25,25.0,43.25,25.0,22,ABSENT (table has 0 rows all-time),7.75,34.0,29179.75,29138.0,-67.0,-89.0,7.75,48.75,-67.0,-164.5,system path: entry_time is the fill-record time (trader_fills row exists); within ~1s of the ✅ Order filled log line
584,2026-09-01,2026-09-01,LONDON,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S2,reject,B,short,Rally into 29138.00 SWG-L·5m and stall/reject with 5m close below it,5m close above 29138.00,29123.25|29085,SHORT,MNQ,Sim101,1.0,29138.0,2026-09-01 08:36:47,29085.0,2026-09-01 08:38:19,1.5,106.0,106.0,reconcile,sync,1,armed_fill,A,0,29162.0,29162.0,29085.0,armed_orders id=24 stop_px/target_px,"UNCHANGED — grep of nofx_2026-09-0{1,2,3}.log: 0 auto-breakeven fires and 0 trailing_armed lines on 09-02 and 09-03; the only 2 stop moves all window were 581 and 582",24.0,53.0,2.208,,,,,,tp,target-hit (NT8 exit_reason=tp),-34.75,0.0,58.0,0.0,73.0,3,ABSENT (table has 0 rows all-time),45.0,72.75,29040.0,29157.75,196.0,-21.5,45.0,132.25,196.0,-131.5,"entry_time is the RECONCILE MATERIALIZATION time (reconcile.go:60 untrackedGraceMs=60000, EntryTime=nowMs). 29138.00 was last traded in the 08:35 1m bar (H 29140.50); the 08:36 bar H is 29127.25 → real fill ~08:35, recorded 08:36:47"
585,2026-09-01,2026-09-01,NY,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,reject,B,short,Price rallies into 29182.00 SWG-L·15m; fade the first touch with a structure stop above 29220.75.,1x5m close above 29182.00 rejects the fade.,29157.75|29125|29085,SHORT,MNQ,Sim101,1.0,29182.0,2026-09-01 09:31:08,29220.75,2026-09-01 09:40:40,9.5,-77.5,-77.5,armed_entry,sync,0,,C,0,29220.75,29220.75,29085.0,"file log 09-01 09:21:08 '⚔️ armed NY S1 leg 1 short limit 29182.00 SL 29220.75 TP 29085.00' — armed_orders (NY,S1,leg0) OVERWRITTEN by v4 re-arm","UNCHANGED — grep of nofx_2026-09-0{1,2,3}.log: 0 auto-breakeven fires and 0 trailing_armed lines on 09-02 and 09-03; the only 2 stop moves all window were 581 and 582",38.75,97.0,2.503,,,,,,sl,stop-hit (NT8 exit_reason=sl),0.0,38.75,0.0,38.75,1.25,10,ABSENT (table has 0 rows all-time),40.75,47.5,29180.0,29268.25,4.0,-5.5,41.75,52.0,6.0,-180.0,armed_entry path — same as 582
586,2026-09-01,2026-09-01,NY,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S3,sweep_reclaim,B,long,sweep of 29082.75 ONL and 5m close back above 29082.75,5m close below 29040.00,29130|29162|29197.5,LONG,MNQ,Sim101,1.0,29082.75,2026-09-01 13:33:06,29055.75,2026-09-01 13:41:14,8.1,-54.0,-54.0,reconcile,sync,1,armed_fill,A,0,29055.75,29055.75,29162.0,armed_orders id=28 stop_px/target_px,"UNCHANGED — grep of nofx_2026-09-0{1,2,3}.log: 0 auto-breakeven fires and 0 trailing_armed lines on 09-02 and 09-03; the only 2 stop moves all window were 581 and 582",27.0,79.25,2.935,,,,,,sl,stop-hit (NT8 exit_reason=sl),13.0,27.5,0.0,40.0,10.5,9,ABSENT (table has 0 rows all-time),63.5,54.0,29119.25,29001.75,73.0,52.5,74.75,54.0,95.5,74.0,entry_time is the reconcile materialization time; 29082.75 is inside the 13:33 bar (L 29077.50) but also traded 13:30/13:31 — exact fill minute cannot be pinned
587,2026-09-01,2026-09-02,ASIA,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,S3,reject,B,long,Price touches 29068.05 (VWAP−1σ) and rejects upward,5m close below 29062.75 invalidates the rejection,29099.85|29113.23,LONG,MNQ,Sim101,1.0,29079.25,2026-09-02 00:17:44,29048.0,2026-09-02 01:03:41,46.0,-62.5,-62.5,system,sync,1,,B,62,29048.0,29048.0,29113.25,decision_records id=36122,"UNCHANGED — grep of nofx_2026-09-0{1,2,3}.log: 0 auto-breakeven fires and 0 trailing_armed lines on 09-02 and 09-03; the only 2 stop moves all window were 581 and 582",31.25,34.0,1.088,2.0,2.03,29069.5,36122,9.75,sl,stop-hit (NT8 exit_reason=sl),1.75,33.0,25.75,33.0,25.75,47,ABSENT (table has 0 rows all-time),10.25,31.5,29058.25,29016.5,-42.0,-124.5,56.5,31.5,50.5,48.0,system path: entry_time is the fill-record time (trader_fills row exists); within ~1s of the ✅ Order filled log line
588,2026-09-02,2026-09-02,LONDON,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,reclaim,B,long,Undercut of 29058.75 PDC followed by a 1x5m close back above 29058.75.,A 5m close below 29001.75 instead of reclaiming cancels this dip-buy and opens the path toward ONL.,29117.48|29171.25|29209.25,LONG,MNQ,Sim101,1.0,29082.5,2026-09-02 07:41:05,29050.0,2026-09-02 07:51:38,10.5,-65.0,-65.0,system,sync,1,,B,63,29050.0,29050.0,29165.0,decision_records id=36336,"UNCHANGED — grep of nofx_2026-09-0{1,2,3}.log: 0 auto-breakeven fires and 0 trailing_armed lines on 09-02 and 09-03; the only 2 stop moves all window were 581 and 582",32.5,82.5,2.538,2.0,2.68,29081.25,36336,1.25,sl,stop-hit (NT8 exit_reason=sl),2.0,33.25,0.0,34.5,0.75,11,ABSENT (table has 0 rows all-time),30.75,17.0,29080.75,29033.0,-3.5,-7.5,69.0,17.0,73.0,-90.0,system path: entry_time is the fill-record time (trader_fills row exists); within ~1s of the ✅ Order filled log line
589,2026-09-02,2026-09-02,NY,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S3,breakout_retest,B,long,"Break above 29171.25 ONH with a 1x5m close, then a pullback retest holds 29171.25.",1x5m close back below 29058.75 PDC voids the breakout.,29209.25|29246.25|29317.25,LONG,MNQ,Sim101,1.0,29192.5,2026-09-02 09:41:04,29115.0,2026-09-02 09:59:27,18.4,-155.0,-155.0,system,sync,1,,A,65,29115.0,29115.0,29317.25,decision_records id=36394,"UNCHANGED — grep of nofx_2026-09-0{1,2,3}.log: 0 auto-breakeven fires and 0 trailing_armed lines on 09-02 and 09-03; the only 2 stop moves all window were 581 and 582",77.5,124.75,1.61,2.0,2.02,29182.0,36394,10.5,sl,stop-hit (NT8 exit_reason=sl),3.75,80.5,10.25,81.25,10.25,19,ABSENT (table has 0 rows all-time),93.0,8.75,29208.0,29106.25,31.0,24.5,93.5,8.75,32.0,-16.0,system path: entry_time is the fill-record time (trader_fills row exists); within ~1s of the ✅ Order filled log line
590,2026-09-02,2026-09-02,NY,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S4,breakout_retest,C,long,A 5m close above ONH 29171.25 breaks the day's consolidation high; the retest touch at 29171.25 from above is the continuation long entry (stop-entry fallback if no retest prints).,A 5m close back below 29143.97 voids the breakout as a round-trip failure.,29209.25|29246.25|29317.25,LONG,MNQ,Sim101,1.0,29193.25,2026-09-02 10:37:17,29143.75,2026-09-02 10:49:30,12.2,-99.0,-99.0,system,sync,1,,A,68,29143.75,29143.75,29317.25,decision_records id=36422,"UNCHANGED — grep of nofx_2026-09-0{1,2,3}.log: 0 auto-breakeven fires and 0 trailing_armed lines on 09-02 and 09-03; the only 2 stop moves all window were 581 and 582",49.5,124.0,2.505,2.0,2.29,29196.5,36422,-3.25,sl,stop-hit (NT8 exit_reason=sl),2.75,49.75,1.0,52.25,6.75,13,ABSENT (table has 0 rows all-time),54.25,8.0,29198.0,29135.75,9.5,-46.0,54.25,8.0,9.5,-91.0,system path: entry_time is the fill-record time (trader_fills row exists); within ~1s of the ✅ Order filled log line
