rule,file_line,resolved_value_now,label,grounding_report_line,live_effect,conforms,drift_detail,production_callers
scheduled read ASIA,kernel/session_registry.go:90 + live system_config.session_registry,"read_ct=16:30 CT (window 17:00-02:00, flat 02:00)",O,knob-census.md:100 (last_entry_ct/eod_flat_ct [O]),gate (authors v1),yes,,1 — trader/auto_trader_planner.go:206 (inSessionReadWindow)
scheduled read LONDON,kernel/session_registry.go:99 + live system_config.session_registry,read_ct=01:30 CT (window 02:00-08:30),O,knob-census.md:100,gate (authors v1),yes,,1 — trader/auto_trader_planner.go:206
scheduled read NY,kernel/session_registry.go:108 + live system_config.session_registry,read_ct=08:00 CT (window 08:30-14:45),O,knob-census.md:100,gate (authors v1),yes,,1 — trader/auto_trader_planner.go:206
wake trigger level_event,trader/auto_trader_wake_levels.go:376,"ON; 6 sub-toggles; fires >=1/cycle candidate, dedupe+throttle",T-weak,belief-census.md:87 (E5: 52 re-plans/7d 7 ever armed),full REPLAN trigger (budget-free),NO,"census queue #3 says demote to advisory; still a full replan trigger on dev",1 — trader/auto_trader_planner.go:347 (+274/282 dormant/no_trade)
wake trigger structure_mss,trader/auto_trader_transition.go:206,"ON; dedupe + wake_min_interval only — NO class-47 cutoff/cooldown/defer",I,two-day-audit-data/verify-class47-mss-wake-ungoverned.md:1 (CONFIRMED),full REPLAN trigger (budget-free),NO,"boot line says cutoffs govern structure_mss; code applies none",1 — trader/auto_trader_planner.go:341
wake cutoff (minutes to flat),trader/class47_wake_cadence.go:52,25 min (WAKE_CUTOFF_MIN unset in /home/hoang/nofx/.env),O,level-event-wake-audit.md:117-124 (N=25 derived: 15 + p90 9.3min n=255),REJECT (wake returns),yes,"derivation matches; promotion basis differs (see drift)",1 — trader/auto_trader_wake_levels.go:316
wake cooldown (since last wake-authored version),trader/class47_wake_cadence.go:59,30 min (WAKE_COOLDOWN_MIN unset),I,"none found — level-event-wake-audit.md:106-135 proposes only P1 cutoff + P2 stream defer",REJECT (wake returns),NO,"no report derives 30m; report:121 explicitly declines 30 for the cutoff on n=6",1 — trader/auto_trader_wake_levels.go:336
fast-market cooldown exemption,trader/class47_wake_cadence.go:164-166,>=1.5xATR5m (FAST_MARKET_ATR unset),I,knob-census.md:31 (FAST_MARKET_ATR 1.5 [I]),bypass (cooldown waived; cutoff NOT waived),yes,,1 — trader/auto_trader_wake_levels.go:299
cross-session stream defer,trader/class47_wake_cadence.go:106 / auto_trader_wake_levels.go:353,"on (unconditional, no knob)",R,level-event-wake-audit.md:129-135 (P2 proposal),defer (wake returns; dedupe key NOT consumed),yes,,1 — trader/auto_trader_wake_levels.go:353
stale-arm expiry,trader/armed_executor.go:244-252,"on (unconditional, no knob)",O,none found — class47 F4 owner-ruled 2026-09-02 (code comment armed_executor.go:236),ledger write (supersede unplaced arms),yes,,1 — trader/armed_executor.go:244
wake_min_interval_min,store/strategy.go:1486-1491,30 min (day_plan key ABSENT for strategy a5b7662e -> DefaultWakeMinIntervalMin),I,level-event-wake-audit.md:121-122 (30 noted; declined for the cutoff),gate (skip wake),yes,,3 — trader/auto_trader_wake_levels.go:274 + :185 + trader/auto_trader_transition.go:186
wake_on_15m_zone,store/strategy.go:1454,true (unset -> default ON),I,none found,gate (candidate class on/off),unknown,,1 — trader/auto_trader_wake_levels.go:99
wake_on_htf_zone,store/strategy.go:1461,true (unset -> default ON),I,none found,gate,unknown,,1 — trader/auto_trader_wake_levels.go:124
wake_on_htf_ob,store/strategy.go:1468,true (EXPLICIT in DB; code default is OFF),O,knob-census.md:101 (wake_on_htf_ob true [O]),gate,yes,,1 — trader/auto_trader_wake_levels.go:140
wake_on_ifvg,store/strategy.go:1479,true (unset -> default ON),I,none found,gate,unknown,,1 — trader/auto_trader_wake_levels.go:156
wake_on_seated_invalidation,store/strategy.go:1472,true (unset -> default ON),I,none found,gate,unknown,,1 — trader/auto_trader_wake_levels.go:176
death re-plan,trader/auto_trader_planner.go:334 (runDeathReplan :765),"trigger death_replan; cap=replan_cap 4; NOT governed by class-47",O,knob-census.md:98 (replan_cap 4 [O]),REPLAN (spends budget),yes,"live-dead: 0 plans rows with trigger_reason=death_replan, all time",1 — trader/auto_trader_planner.go:334
owner re-read,trader/auto_trader_reread.go:126,"trigger owner_reread; spends budget; NOT governed by class-47",O,belief-census legend / class35 memory,REPLAN (spends budget),yes,"live-dead: 0 plans rows with trigger_reason=owner_reread, all time",1 — api/handler_plan.go:1168
owner reset,trader/auto_trader_reset.go:129,"trigger owner_reset; budget re-armed; NOT governed by class-47",O,store/strategy.go:1304 (free list),REPLAN (budget-free),yes,,1 — trader/auto_trader_reset.go:129
flip/death -> dormant,trader/auto_trader_planner.go:296-311,"dormant marker, version unchanged, budget untouched",O,belief-census.md:86 (E4 [O]),lifecycle,yes,,1 — trader/auto_trader_planner.go:299
dormant auto re-arm,trader/auto_trader_planner.go:262-272,"on; close-back predicate + DORMANT_MIN_HOLD_MIN",O,belief-census.md:86 (E4),lifecycle,yes,,1 — trader/auto_trader_planner.go:262
