rule,file_line,resolved_value_now,label,report_line_grounding,live_effect,conforms,drift_detail,production_callers
F1 NWOG weekend gap is a weekly level,kernel/weekly_bias.go:47-56 (type) / :173-236 (LastNWOGs),"last 5 gaps; CE=(hi+lo)/2; Filled=any 1m bar through CE since birth",I,2026-09-02-belief-census.md:96 (F1 [I] weight/advisory); no research report grounds NWOG (grep of docs/superpowers/reports = 0 evidence rows),advisory (facts text in the Sunday weekly-read prompt only),yes,"census says weight/advisory; live is advisory-only — no weight path exists since class 50",2 (kernel/weekly_prompt.go:48 ComputeWeeklyFacts; reached from trader/auto_trader_weekly.go:219 and kernel/weekly_prompt.go:441)
F2 IPDA 20/40/60 trailing days,kernel/weekly_bias.go:58-66 (type) / :271-295 (IPDA),"[20 40 60] trading-day HH/LL + PosPct; PosPct=-1 rendered 'insufficient history'",I,2026-09-02-belief-census.md:97 (F2 [I] advisory); 2026-08-30-weekly-bias-wave.md:10 describes the section but cites no study,advisory (facts text in the Sunday weekly-read prompt only),yes,,2 (kernel/weekly_prompt.go:49 ComputeWeeklyFacts; same two roots as F1)
F3 weekly doc invalidated by 1h close beyond invalidation px,kernel/weekly_prompt.go:406-425 (WeeklyInvalidationCrossed) / retired at trader/auto_trader_weekly.go:322-327,"NOT RESOLVED — no runtime path; WEEKLY_INVALIDATION_TF_DEFAULT resolver returns 1h (kernel/weekly_knobs.go:110-116) but has 0 callers",O,2026-09-02-belief-census.md:94 (F3 [O] gate) — census still labels it a live gate,DEAD (was gate),NO,"census/ruling: gate. Live: 0 production callers — W4 watch removed by class 50 (830717dd); only caller of WeeklyInvalidationCrossed is ApplyWeeklyDOA which is itself uncalled",0 — DEAD (only kernel/weekly_prompt.go:380 inside the dead ApplyWeeklyDOA + kernel/weekly_prompt_test.go:132)
F4 weekly DOA breach-at-write guard,kernel/weekly_prompt.go:372-386 (ApplyWeeklyDOA),"NOT RESOLVED — no runtime path",O,2026-09-02-belief-census.md:95 (F4 [O] gate),DEAD (was gate at write),NO,"census/ruling: gate. Live: 0 production callers. Last live firing is visible on the CURRENT weekly doc (plans trade_date=2026-08-31 session=WEEKLY v1: invalidated_at='2026-09-02 19:06 CT' == created_at 2026-09-03T00:06:24Z) — written 2h31m BEFORE the class-50 boot",0 — DEAD (kernel/weekly_prompt_test.go:229 only)
F5a weekly confluence band 0.25xATR5m,kernel/weekly_knobs.go:76-83 (WeeklyConfluenceBandATR),0.25 (WEEKLY_CONFLUENCE_BAND_ATR absent from /home/hoang/nofx/.env and from the systemd unit; resolver default),I,2026-09-02-belief-census.md:98 (F5 [I] weight); 2026-08-30-knob-census.md:50 labels it [C] code-canon,shadow (log-only),yes,"census [I] / knob-census [C]; live effect is shadow-only so 'weight' in the census overstates it. web/src/guide/content/weeklyBias.ts:70 calls 0.25 'the researched default' — no report grounds it",1 (trader/auto_trader_weekly.go:358)
F5b weekly shadow grade multiplier 1.5,kernel/weekly_knobs.go:87-94 (WeeklyShadowMult),1.5 (WEEKLY_SHADOW_MULT absent from .env / unit; resolver default),I,2026-09-02-belief-census.md:98; 2026-08-30-knob-census.md:49 [C],shadow (log-only),yes,,1 (trader/auto_trader_weekly.go:359)
F-extra WEEKLY_READ_CT sunday read time,kernel/weekly_knobs.go:23-53 (WeeklyReadSpec),"sun 16:30 CT (env absent -> shipped default)",O,2026-08-30-weekly-bias-wave.md:20 (default 'sun 16:30'),gate (scheduler: wait/read/skip at trader/auto_trader_weekly.go:148-156),yes,"boot line 'Sunday weekly 16:30' at kernel/levels_volume_boot.go:25 is a HARDCODED LITERAL not the resolver — class 45 boot-lines-are-READ violation",1 (kernel/weekly_knobs.go:64 WeeklyReadDeadline -> trader/auto_trader_weekly.go:168)
F-extra WEEKLY_COUNTER_MODE,kernel/weekly_knobs.go:98-105,"warn (resolver default) — but unreachable",I,2026-08-30-knob-census.md:51 [C],DEAD,NO,"knob-census lists it as a live env knob; 0 production callers since class 50 retired weeklyCounterShadow (trader/auto_trader_weekly.go:401-403 returns immediately)",0 — DEAD (kernel/weekly_shadow_test.go:145 only)
F-extra WeeklyDrawAlignTag,kernel/weekly_prompt.go:546,"pinned literal 'neutral' at trader/auto_trader_weekly.go:446-448",M,2026-09-02-belief-census.md (no F-row; class 50 comment at trader/auto_trader_weekly.go:442-445),label (decision_records.draw_align),yes,"kernel helper has 0 production callers; the trader stub returns the literal. 2916 of 2916 decision_records rows since 2026-08-30T22:01Z carry draw_align='neutral'; 0 rows ever carried anything else",1 for the stub (trader/auto_trader_decision.go:51); 0 for kernel.WeeklyDrawAlignTag — DEAD
D6a weekly doc is REFERENCES-ONLY,kernel/weekly_prompt.go:284 (prompt rule 2) + :258-265 (validator r4) + trader/auto_trader_weekly.go:250 (Conviction pinned 'n/a'),"refs-only ON — validator rejects bull|bear|long|short|upside|downside|biased|bias in the narrative",O,2026-09-02-bias-calibration.md:122 (design recommendation: 'demote the weekly-structure bias ... render the chip as WEEKLY: refs only'),REJECT at write (r4) + label,yes,,1 (trader/auto_trader_weekly.go:241)
