rule,file_line,resolved_value_boot8,label,grounding_report_line,live_effect,conforms,drift_detail,production_callers
"EntryGate leg 0 — plan_mode=strict","trader/entry_gate.go:160-174","plan_mode=strict (strategy value; DB strategies a5b7662e day_plan.plan_mode='strict'; no session override) resolved by store/resolve_source.go:47-55","O","docs/VL-DAYPLAN-FULL-SPEC.md:49 (strict = ""Go-verified trigger required""); NOT in belief census (post-dates ee64a494)","REJECT (hard)","NO","spec:49 strict = a verified trigger / matched scenario; live = EVERY decision-path market entry refused regardless of citation (entry_gate.go:161-163)","2 — trader/armed_executor.go:510 (arm), trader/auto_trader_orders.go:333 (decision); refusing branch only on decision"
"EntryGate leg 1 — plan bias direction","trader/entry_gate.go:179-184","INERT — fires only when plan_mode=""direction""; resolved mode is strict","O","docs/VL-DAYPLAN-FULL-SPEC.md:49","REJECT when mode=direction; dead-by-config now","yes (rule text matches spec)","n/a","2 — armed_executor.go:510, auto_trader_orders.go:333"
"EntryGate leg 2 — class-48 direction mismatch","trader/entry_gate.go:190-197","ACTIVE on both paths when a scenario with an authored direction is cited","O","docs/superpowers/reports/2026-09-02-class48-entry-gate.md:206 (590 was NOT a direction mismatch at v5)","REJECT","yes","0 fires 09-02..09-03 (two-day-audit.md:582-586); still 0 since boot 8","2 — armed_executor.go:510, auto_trader_orders.go:333"
"EntryGate leg 3 — invalidation (arm only)","trader/entry_gate.go:205-228","ON; resolver wired at entry_gate.go:358, nil on decision path; boot: ""arm gate: invalidation-wired=on""","O","docs/superpowers/reports/2026-09-03-invalidation-wired.md:19-25 (E1: the 12 minutes, -$140)","REJECT on arm; fail-open + WARN when unresolvable","yes","FIRED IN PRODUCTION 2026-09-04 02:00:46 CT LONDON — first ever; updates two-day-audit.md:582-586","1 — armed_executor.go:510 (arm only)"
"EntryGate leg 4 — shadow map 0C","trader/entry_gate.go:233-235","shadow [breakout_retest, fvg_entry] (boot line, live-read)","O","docs/superpowers/reports/2026-09-02-class48-entry-gate.md:205-206 (589/590 both traded breakout_retest)","REJECT","yes","0 fires in window (two-day-audit.md:582-586)","2 — armed_executor.go:510, auto_trader_orders.go:333"
"EntryGate leg 5 — R:R at execution price","trader/entry_gate.go:242-259","floor 2.0 — SAVED value ai_config.risk_control.min_risk_reward_ratio=2 via store.ResolveMinRiskReward (resolve_source.go:29-34); boot: arm_rr=2.0 / market-entry floor 2.0. Fallback 3.0 only when MinRR<=0 (entry_gate.go:253-255)","T","docs/superpowers/reports/2026-09-02-belief-census.md:48 (B8 arm R:R>=2.0, [T] n=18 +$994)","REJECT","NO","research/spec floor = 3.0 (docs/VL-DAYPLAN-FULL-SPEC.md:49; store/strategy.go:70-76 SafeDefaultMinRiskReward); resolved live = 2.0 on BOTH paths","2 — armed_executor.go:510, auto_trader_orders.go:333 (+ arm-chain twin armed_executor.go:1352-1354)"
"EntryGate leg 6 — min-SL x ATR5m","trader/entry_gate.go:262-270","MinSLMult=1.5 (kernel.MinSLATRMult -> MinSLATRMultDefault, kernel/min_sl.go:31/44-51; MIN_SL_ATR_MULT ABSENT from .env); boot: min-sl guard atr_mult=1.5","O","docs/superpowers/reports/2026-09-02-belief-census.md:46 (B6) + :129 (rank-1 demotion queue)","REJECT","NO","census records 1.0 as [I/C]; resolved live = 1.5 (0B owner ruling 2026-09-02, kernel/min_sl.go:19-27). Own-tape partial support: 15 of 27 losers stopped-too-tight (min_sl.go:11-15)","2 — armed_executor.go:510, auto_trader_orders.go:333"
"2-tick level clearance (the OTHER half of the stop floor)","kernel/min_sl.go:36-40 (const MinSLTickClearance=2)","2 ticks = 0.50 pt on MNQ (tick 0.25, boot instrument_info)","O","docs/superpowers/reports/2026-09-02-belief-census.md:46 (B6 states ""+2-tick clearance"")","REJECT — but NOT inside EntryGate","NO (scope)","EntryGate leg 6 is ATR-ONLY; the clearance leg lives at kernel/engine_position.go:241-250 (validateDecision) and trader/armed_executor.go:392 (0B stop composition). An arm/decision that clears ATR but sits AT the level is not refused by EntryGate","3 — engine_position.go:241, armed_executor.go:392, auto_trader_dayplan.go:58 (boot print)"
"EntryGate leg 7 — one_open_position","trader/entry_gate.go:277-283","ON, hardcoded, no knob; INERT right now — zero open rows in trader_positions (last close id=591, 2026-09-03)","O","docs/superpowers/reports/2026-09-04-two-day-audit.md:615 (ON, hardcoded, no knob)","REJECT (exit legs exempt)","yes","0 fires in window (two-day-audit.md:582-586)","2 — armed_executor.go:510, auto_trader_orders.go:333"
"no-chase callback (WARN-first)","trader/entry_gate.go:288-294 + trader/no_chase.go:100-131","max_dist=1.00xATR (no_chase.go:71-78, NOCHASE_MAX_DIST_ATR unset) max_run=1.5xATR5m (no_chase.go:83-95) mode=warn counters=on","I","self-declared [I] PROVISIONAL in the boot line (no_chase.go:146-147); no report supports the numbers","WARN-only — refuses nothing","yes (as WARN)","D36 CONFIRMED LIVE at boot 8: counters nochase_arm_ok=43 / nochase_arm_run_null=43, 0 would_refuse; 08:46:10 line ""dist alone (0.00xATR)"" — citedLevelFor returns sc.Confirm.RefPrice == arm entry (no_chase.go:199-223)","2 — armed_executor.go:510, auto_trader_orders.go:333"
