id,trader_id,trade_date,session,prompt_hash,attempt,reject_reason,created_at,family
69,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-01,NY,dfc540fc2344,2,"arm on S2 needs EXACTLY 2 legs (split contract), got 1",2026-09-01 16:59:57.290493794+00:00,arm_legs
70,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-01,NY,dfc540fc2344,3,"scenario[0].confirm2.rule ""1m_mss"" not allowed for breakdown_continue — entry law: 1 confirming close + displacement ≥ BD_MIN_DISP_ATR×ATR5m OR stop-entry (E7); 2x5m legal ONLY here",2026-09-01 17:06:32.135166487+00:00,confirmation_vocabulary
71,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-01,NY,53122b35095d,1,stream interrupted: context deadline exceeded (Client.Timeout or context cancellation while reading body),2026-09-01 17:33:07.176072345+00:00,transport
72,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-01,NY,53122b35095d,2,stream interrupted: context deadline exceeded (Client.Timeout or context cancellation while reading body),2026-09-01 17:43:07.12590484+00:00,transport
73,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-01,NY,53122b35095d,3,S2 breakdown_continue: a close came back across 29125.00 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-01 17:52:48.127935959+00:00,continuation_void
74,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-01,NY,f7633096e790,1,S1 breakdown_continue: a close came back across 29100.50 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-01 17:59:12.314812245+00:00,continuation_void
75,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-01,ASIA,1338de68604e,1,S1 breakdown_continue: a close came back across 29130.50 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-01 22:10:09.487645341+00:00,continuation_void
76,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-01,ASIA,1338de68604e,2,"scenario[0].confirm.rule ""1x5m_close"" — fade_requires_touch (a reject fade enters on the touch at the level, never on a close-confirm: touch-entry at the level (limit), stop behind structure by ≥2 ticks)",2026-09-01 22:15:51.851714563+00:00,fade_requires_touch
77,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-01,ASIA,1338de68604e,3,S2 breakdown_continue: a close came back across 29130.50 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-01 22:23:14.529859293+00:00,continuation_void
78,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-01,ASIA,c9ab05d2b5b2,1,"scenario[0].confirm2.rule ""1m_mss"" not allowed for breakdown_continue — entry law: 1 confirming close + displacement ≥ BD_MIN_DISP_ATR×ATR5m OR stop-entry (E7); 2x5m legal ONLY here",2026-09-01 22:47:32.190745274+00:00,confirmation_vocabulary
79,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-01,ASIA,c9ab05d2b5b2,2,"scenario[0].confirm2.rule ""2x5m"" invalid (touch|1x5m_close|2x5m_close|1m_mss|time_hold)",2026-09-01 22:53:33.015469323+00:00,confirmation_vocabulary
80,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-01,ASIA,c9ab05d2b5b2,3,arm legs on breakdown_continue — arm_legs_sweep_reclaim_only (the split entry is the sweep_reclaim contract; other conditions arm single),2026-09-01 23:00:41.404223272+00:00,arm_legs
81,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-01,ASIA,4cd15a2a2dfa,1,"scenario[3].confirm2.rule ""touch"" not allowed for breakup_continue — entry law: 1 confirming close + displacement ≥ BD_MIN_DISP_ATR×ATR5m OR stop-entry (E7); 2x5m legal ONLY here",2026-09-02 01:59:42.273354695+00:00,confirmation_vocabulary
82,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-01,ASIA,4cd15a2a2dfa,2,"scenario[3].confirm2.rule ""displacement"" invalid (touch|1x5m_close|2x5m_close|1m_mss|time_hold)",2026-09-02 02:05:17.059721908+00:00,confirmation_vocabulary
83,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-01,ASIA,4cd15a2a2dfa,3,S4 breakdown_continue: a close came back across 29047.75 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-02 02:14:51.999313692+00:00,continuation_void
84,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-01,ASIA,2fc284e847db,1,"arm on S1 needs EXACTLY 2 legs (split contract), got 1",2026-09-02 02:44:29.846250866+00:00,arm_legs
85,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-01,ASIA,2fc284e847db,2,arm on S1 top-level entry/stop/target must equal leg 1's (legacy readers read the top-level),2026-09-02 02:47:23.166586498+00:00,arm_legs
86,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-01,ASIA,2fc284e847db,3,arm on S1 leg 2 must chain (wait_confirm true) on its confirm rule,2026-09-02 02:53:46.214997939+00:00,arm_legs
87,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-01,ASIA,7d2cab340f2e,1,still failed after 2 retries: stream interrupted: unexpected EOF,2026-09-02 04:47:33.214108988+00:00,transport
88,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-01,ASIA,7d2cab340f2e,2,S3 breakup_continue: a close came back across 29068.05 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-02 04:55:06.862471759+00:00,continuation_void
89,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-01,ASIA,9627ea81feed,1,"still failed after 2 retries: API error (status 503): {""error"":{""message"":""Server Overloaded"",""type"":""service_unavailable_error"",""param"":null,""code"":""service_unavailable_error""}}",2026-09-02 06:15:50.866011681+00:00,transport
90,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-01,ASIA,9627ea81feed,2,"still failed after 2 retries: API error (status 503): {""error"":{""message"":""Server Overloaded"",""type"":""service_unavailable_error"",""param"":null,""code"":""service_unavailable_error""}}",2026-09-02 06:15:53.856486795+00:00,transport
91,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-01,ASIA,9627ea81feed,3,"still failed after 2 retries: API error (status 503): {""error"":{""message"":""Server Overloaded"",""type"":""service_unavailable_error"",""param"":null,""code"":""service_unavailable_error""}}",2026-09-02 06:15:57.061892751+00:00,transport
92,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-02,LONDON,ae539d43b6ce,1,S1 breakdown_continue: a close came back across 29021.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-02 06:32:54.270889137+00:00,continuation_void
93,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-02,LONDON,ae539d43b6ce,2,"scenario[0].confirm.rule ""1x5m_close"" — fade_requires_touch (a reject fade enters on the touch at the level, never on a close-confirm: touch-entry at the level (limit), stop behind structure by ≥2 ticks)",2026-09-02 06:35:04.64773277+00:00,fade_requires_touch
94,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-02,LONDON,ae539d43b6ce,3,S2 breakdown_continue: a close came back across 29021.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-02 06:37:44.932552231+00:00,continuation_void
95,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-02,NY,d92be16cc6c9,1,S4 broken level 29001.75 is 168.0 pts from price 29169.75 (> 5.0×ATR5m=119.4 — the retest is unreachable; author a nearer broken level),2026-09-02 17:57:32.340532114+00:00,retest_distance
96,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-02,NY,d92be16cc6c9,2,S4 breakdown_continue: a close came back across 29058.75 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-02 18:00:14.040648259+00:00,continuation_void
97,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-02,NY,6e556957b04c,1,too many levels: 13 (max 12),2026-09-02 18:56:32.05844239+00:00,level_cap
98,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-02,NY,b2117827af90,1,S2 breakdown_continue: a close came back across 29167.66 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-02 19:22:33.240975743+00:00,continuation_void
99,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-02,NY,b2117827af90,2,"scenario[1].confirm.rule ""1x5m_close"" — fade_requires_touch (a reject fade enters on the touch at the level, never on a close-confirm: touch-entry at the level (limit), stop behind structure by ≥2 ticks)",2026-09-02 19:23:37.849978459+00:00,fade_requires_touch
100,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-02,NY,b2117827af90,3,S3 breakdown_continue: a close came back across 29109.65 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-02 19:25:17.058558805+00:00,continuation_void
101,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-02,ASIA,1ed2e2e2016c,1,S3 breakdown_continue: a close came back across 29149.00 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-02 23:00:42.373653348+00:00,continuation_void
102,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-02,ASIA,9dfa5cd10cf8,1,S4 breakdown_continue: a close came back across 29149.00 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-02 23:13:41.032929248+00:00,continuation_void
103,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-02,ASIA,604cdbe95579,1,S3 breakdown_continue: a close came back across 29149.00 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-02 23:38:26.345870526+00:00,continuation_void
104,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-02,ASIA,604cdbe95579,2,"scenario[2].confirm.rule ""1x5m_close"" — fade_requires_touch (a reject fade enters on the touch at the level, never on a close-confirm: touch-entry at the level (limit), stop behind structure by ≥2 ticks)",2026-09-02 23:39:44.072010617+00:00,fade_requires_touch
105,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-02,ASIA,50f676a2ef95,1,S2 breakdown_continue: a close came back across 29141.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-03 00:35:00.100535207+00:00,continuation_void
106,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-02,ASIA,50f676a2ef95,2,"scenario[1].confirm.rule ""1x5m_close"" — fade_requires_touch (a reject fade enters on the touch at the level, never on a close-confirm: touch-entry at the level (limit), stop behind structure by ≥2 ticks)",2026-09-03 00:35:38.308869498+00:00,fade_requires_touch
107,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-02,ASIA,50f676a2ef95,3,S2 breakdown_continue: a close came back across 29141.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-03 00:38:17.296230867+00:00,continuation_void
108,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-02,ASIA,4b89dcd03e78,1,S2 breakdown_continue: a close came back across 29141.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-03 01:03:55.812458031+00:00,continuation_void
109,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-02,ASIA,60f666c27c9f,1,S2 breakdown_continue: a close came back across 29176.29 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-03 01:36:47.044612667+00:00,continuation_void
