gate_leg,file_line,log_string,knob,resolver_file_line,production_call_site,callers_n
EntryGate leg 0 — strict (plan_mode),trader/entry_gate.go:160-174 (returns at :162 :165 :169 :172),"arm path: ""🚦 entry-gate REFUSED arm <session>: <reason> · refusals this session: <n>"" (trader/entry_gate.go:468) | decision path: NO LOG AT ALL — reason only into decision_records.risk_check_error via entryGateDecisionTelemetry (trader/entry_gate.go:477-486). Reason text: ""entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a <path>-path market entry""",day_plan.plan_mode (+ per-session override),trader/auto_trader_planconfig.go:41 planModeFor -> store DayPlanConfig.PlanModeFor,arm: trader/armed_executor.go:495 (entryGateForArm) · decision: trader/auto_trader_orders.go:333 (entryGateForDecision),2 prod
EntryGate leg 1 — plan bias (direction mode),trader/entry_gate.go:179-184 (return :182),"same two carriers as leg 0. Reason: ""entry_gate: <side> entry against plan bias \""<bias>\"" (plan_mode=direction)""","day_plan.plan_mode == ""direction""",trader/auto_trader_planconfig.go:41,same as leg 0,2 prod
EntryGate leg 2 — scenario-direction consistency (class 48),trader/entry_gate.go:190-197 (return :194),"""entry_gate: <side> entry cites scenario <id> authored <dir> — direction mismatch (class 48)""",none (structural: sc.Direction vs action),kernel plan doc scenarios[].direction,same as leg 0,2 prod
EntryGate leg 3 — invalidation-wired (ARM PATH ONLY),trader/entry_gate.go:205-228 (return :226; fail-open note :211),"refusal: ""entry_gate: scenario <id> invalidated at <HH:MM> (accepted through <px>) — <reason>"" · unavailable: ""🛡 entry_gate: invalidation check unavailable for <id> — leg PASSED (no verdict is not a refusal)"" (trader/entry_gate.go:359)",none (reads the evaluator's own verdict),trader/invalidation_resolver.go:27 scenarioInvalidationResolver -> kernel.EvaluatePlanScenarios,arm ONLY: trader/entry_gate.go:358 wires it; decision path leaves it nil (trader/entry_gate.go:418-434 never sets ScenarioInvalidation),1 prod (arm only)
EntryGate leg 4 — shadow map (0C),trader/entry_gate.go:233-235 (return :234),"""entry_gate: scenario <id> condition <cond> is SHADOW (0C) — authored + E8-scored, never placed on any path""",day_plan.condition_status (+session) / SHADOW_CONDITIONS / LIVE_CONDITIONS env / code defaults,trader/armed_executor.go:30 conditionShadowedFor -> kernel/condition_status.go:68 IsConditionShadowed (defaults kernel/condition_status.go:~40),same as leg 0,2 prod
EntryGate leg 5 — R:R at the REAL fill price,trader/entry_gate.go:237-259 (return :257),"""entry_gate: R:R <rr> below floor <floor> at execution price <px> (SL <sl> TP <tp>)""",min_risk_reward_ratio (Studio),trader/armed_executor.go:78 armMinRRFor -> :70 resolvedMinRR -> store.ResolveMinRiskReward,same as leg 0,2 prod
EntryGate leg 6 — min-SL x ATR5m,trader/entry_gate.go:261-270 (return :268),"""entry_gate: stop <sl> too close (<dist> < <thr> = <mult>×ATR5m)""",MIN_SL_ATR_MULT (env; 0=off),"kernel/min_sl.go:44 MinSLATRMult (default const kernel/min_sl.go:34 = 1.5); ATR5m: arm=caller atr5m, decision=trader/entry_gate.go:317 armSeamATR5m",same as leg 0,2 prod
EntryGate leg 7 — one open position per instrument,trader/entry_gate.go:272-283 (return :280),"""entry_gate: <side> entry refused: position <id> open (v<n> <scenario> <side>) (one_open_position, owner ruling 2026-09-03); no adds, no flips""","none (owner ruling, always on; exempt only for leg.Kind==""exit"")",trader/entry_gate.go:123 openPositionLabel; open set read at :334-346 (arm) / :392-407 (decision),same as leg 0,2 prod
"EntryGate no-chase leg (WARN-ONLY, refuses nothing)",trader/entry_gate.go:285-294 -> trader/no_chase.go:99 EvaluateNoChase,"""🚫 no-chase WOULD_REFUSE <path> <scenario>: dist=<d>pts/<x>×ATR run=<r> (<why>) — WARN-first, entry PROCEEDING"" (trader/no_chase.go:133-142); plus ""🚫 no-chase: <path> <sc> has no recorded touch — run stored NULL…"" and ""…cites no level price…""",NOCHASE_MAX_DIST_ATR (default 1.0) · NOCHASE_MAX_RUN_PTS (default = MIN_SL_ATR_MULT×ATR5m),trader/no_chase.go:70 NoChaseMaxDistATR · trader/no_chase.go:81 noChaseMaxRunPts,same as leg 0 (arm + decision),2 prod
arm legacy — ArmSpecValid,trader/armed_executor.go:1282 (return :1282),"""⚔️ arm REFUSED <session> <sc> leg <n>: <err>"" (trader/armed_executor.go:455)",none (schema),kernel ArmSpecValid,trader/armed_executor.go:415 armGateVerdictFor,1 prod
