item,value,evidence
boot_8,2026-09-04 08:30:11 CT rev 70af663d PID 878451,data/nofx_2026-09-04.log:3903 (armed_orders boot line) + BOOT INTEGRITY OK line
first_directional_plan_since_boot8,"2026-09-04:NY v2, written 2026-09-04 08:44:46 CT (13:44:46 UTC), lifecycle=active, trigger=owner_reset",plans table (created_at 2026-09-04 13:44:46.688576529+00:00)
bias_direction,long,plans.doc bias.direction
bias_conviction,medium,plans.doc bias.conviction
day_type,balance,plans.doc day_type
scenario_S1,"direction=long condition=sweep_reclaim quality=A arm.enabled=true entry=29611.25 stop=29481.50 target=29720.00 -> R:R 108.75/129.75 = 0.84",plans.doc scenarios[0]
scenario_S2,"direction=short condition=sweep_reclaim quality=B arm.enabled=true entry=29720.00 stop=29770.00 target=29601.00 -> R:R 119/50 = 2.38",plans.doc scenarios[1]
S1_outcome,"REFUSED by the arm-chain R:R leg at 08:46:09 CT: 'arm REFUSED NY S1 leg 1: R:R 0.84 below arm min 2.00 (studio min_risk_reward_ratio)'",data/nofx_2026-09-04.log:5039 (armed_executor.go:1352-1354)
S2_outcome,"ARMED and PLACED at 08:46:10 CT: stop WIDENED 29770.00 -> 29773.61 by the 0B composition (atr_floor 1.5xATR5m 35.74), then all EntryGate legs passed; 'armed NY S2 leg 1 short limit 29720.00 SL 29773.61 TP 29601.00'",data/nofx_2026-09-04.log:5040/5045
armed_orders_since_boot8,"1 row — id=38 NY S2 SHORT sweep_reclaim entry 29720.00 stop 29773.83 target 29601.00 state=armed armed_under_version=2, created 2026-09-04 08:46:09.88 CT",armed_orders table
long_arms_since_boot8,0,armed_orders table
decision_cycles_since_boot8,"8 (ids 37649-37656, 08:30:21 -> 08:44:19 CT), every one action=wait, zero open_long/open_short",decision_records
decision_path_entry_gate_refusals_since_boot8,"0 — no market entry was emitted for leg 0 to refuse",decision_records execution_log
open_positions_now,0,trader_positions status='open'
could_a_long_have_traded,"NO — decision path closed by leg 0 for ALL market entries; arm path had exactly one long scenario and its R:R 0.84 is below the 2.0 floor",entry_gate.go:160-163 + nofx_2026-09-04.log:5039
did_a_long_trade,NO,armed_orders + trader_positions
