document,line,category,text
planner-132-actual.txt,1,I,"## CORRECTIONS FROM THIS READ — read these FIRST
"
planner-132-actual.txt,2,I,"The standing rules below still apply EXCEPT where this correction overrides them.
"
planner-132-actual.txt,3,I,"This read has already been rejected 2 times, for 2 DISTINCT defects. Avoid ALL of them, not only the last:
"
planner-132-actual.txt,4,I,"  1. S1 breakdown_continue: the tape shows NO confirming close beyond 29481.50 yet (1 confirming close(s) needed — BD_MIN_CLOSES, displacement + reclaim-check unchanged) — author it only after the displacement exists (or set entry_mode=immediate and accept the confirming-close trigger)
"
planner-132-actual.txt,5,I,"  2. S1 arm requires entry_mode=pullback (immediate-mode entries are AI-path only)
"
planner-132-actual.txt,6,I,"
"
planner-132-actual.txt,7,I,"Valid conditions: [acceptance, breakdown_continue, breakup_continue, hold, reclaim, reject, sweep_reclaim] (use exactly ONE token from this list; do NOT combine condition names).
"
planner-132-actual.txt,8,I,"
"
planner-132-actual.txt,9,I,"# DAY-PLAN READER — CME MNQ futures
"
planner-132-actual.txt,10,I,"You are a disciplined pro reading the market ONCE, carefully. Write ONE structured day plan for this session. Facts below are Go-computed; your job is JUDGMENT, not re-deriving the map.
"
planner-132-actual.txt,11,F,"
"
planner-132-actual.txt,12,F,"## Session
"
planner-132-actual.txt,13,F,"trade_date 2026-09-04 · session NY · NY scheduled read (stored+cached data) · price 29503.75 · dATR 510.0
"
planner-132-actual.txt,14,F,clock 10:28 CT (15:28 UTC)
planner-132-actual.txt,14,I," — EVERY time in this prompt is CT (America/Chicago): session windows, read/flat times and the lunch no-trade (12:00–13:30 CT) are CT wall-clock. Never apply these numbers to a UTC clock.
"
planner-132-actual.txt,15,F,⚡ FAST TAPE — price has moved 89.0 pts (2.4×ATR5m) since the last plan write.
planner-132-actual.txt,15,I," Write the SHORTEST valid plan you can: fewer scenarios, tight prose. A fast market does not reward long deliberation.
"
planner-132-actual.txt,16,F,"
"
planner-132-actual.txt,17,F,"## Regime
"
planner-132-actual.txt,18,F,"REGIME: trend D=up 1h=up · ATR14=455.8 (NORMAL p42) · RV=101%-of-normal · VIX=n/a · exp-range≈456pts · o/n-gap=+0.06×ATR
"
planner-132-actual.txt,19,F,"
"
planner-132-actual.txt,20,F,"## Candles (oldest→latest)
"
planner-132-actual.txt,21,F,"### 15m (last 12)
"
planner-132-actual.txt,22,F,"Time(CT)       Open      High      Low       Close     Volume
"
planner-132-actual.txt,23,F,"09-04 07:30    29676.2500 29720.0000 29532.5000 29556.7500 67174.00    
"
planner-132-actual.txt,24,F,"09-04 07:45    29557.2500 29557.7500 29502.0000 29546.5000 43401.00    
"
planner-132-actual.txt,25,F,"09-04 08:00    29546.5000 29556.7500 29523.0000 29548.7500 26654.00    
"
planner-132-actual.txt,26,F,"09-04 08:15    29548.5000 29591.7500 29547.0000 29588.2500 26919.00    
"
planner-132-actual.txt,27,F,"09-04 08:30    29588.5000 29645.2500 29553.7500 29616.5000 142346.00   
"
planner-132-actual.txt,28,F,"09-04 08:45    29615.7500 29692.0000 29577.5000 29691.2500 102308.00   
"
planner-132-actual.txt,29,F,"09-04 09:00    29691.0000 29691.2500 29594.0000 29648.2500 98561.00    
"
planner-132-actual.txt,30,F,"09-04 09:15    29648.2500 29649.7500 29564.0000 29595.7500 94209.00    
"
planner-132-actual.txt,31,F,"09-04 09:30    29596.0000 29598.2500 29530.0000 29533.5000 80350.00    
"
planner-132-actual.txt,32,F,"09-04 09:45    29533.0000 29544.2500 29498.5000 29520.7500 72899.00    
"
planner-132-actual.txt,33,F,"09-04 10:00    29520.5000 29541.0000 29491.0000 29540.2500 62376.00    
"
planner-132-actual.txt,34,F,"09-04 10:15    29541.0000 29543.5000 29483.2500 29503.7500 57097.00      <- current
"
planner-132-actual.txt,35,F,"
"
planner-132-actual.txt,36,F,"### 1h (last 12)
"
planner-132-actual.txt,37,F,"Time(CT)       Open      High      Low       Close     Volume
"
planner-132-actual.txt,38,F,"09-03 23:00    29571.0000 29601.0000 29556.2500 29597.2500 28301.00    
"
planner-132-actual.txt,39,F,"09-04 00:00    29597.7500 29643.5000 29591.5000 29619.5000 38372.00    
"
planner-132-actual.txt,40,F,"09-04 01:00    29620.0000 29644.2500 29573.7500 29576.0000 41498.00    
"
planner-132-actual.txt,41,F,"09-04 02:00    29577.2500 29658.7500 29575.0000 29653.0000 35334.00    
"
planner-132-actual.txt,42,F,"09-04 03:00    29653.7500 29673.0000 29634.7500 29658.5000 35616.00    
"
planner-132-actual.txt,43,F,"09-04 04:00    29657.5000 29661.7500 29616.2500 29657.2500 24346.00    
"
planner-132-actual.txt,44,F,"09-04 05:00    29656.7500 29698.5000 29654.2500 29681.0000 22374.00    
"
planner-132-actual.txt,45,F,"09-04 06:00    29681.2500 29689.5000 29650.5000 29681.7500 26038.00    
"
planner-132-actual.txt,46,F,"09-04 07:00    29682.2500 29720.0000 29502.0000 29546.5000 143899.00   
"
planner-132-actual.txt,47,F,"09-04 08:00    29546.5000 29692.0000 29523.0000 29691.2500 298227.00   
"
planner-132-actual.txt,48,F,"09-04 09:00    29691.0000 29691.2500 29498.5000 29520.7500 346019.00   
"
planner-132-actual.txt,49,F,"09-04 10:00    29520.5000 29543.5000 29483.2500 29503.7500 119473.00     <- current
"
planner-132-actual.txt,50,F,"
"
planner-132-actual.txt,51,F,"### 4h (last 8)
"
planner-132-actual.txt,52,F,"Time(CT)       Open      High      Low       Close     Volume
"
planner-132-actual.txt,53,F,"09-03 03:00    29219.7500 29293.0000 29101.7500 29105.2500 178695.00   
"
planner-132-actual.txt,54,F,"09-03 07:00    29105.2500 29543.7500 29104.0000 29538.2500 1149263.00  
"
planner-132-actual.txt,55,F,"09-03 11:00    29538.7500 29585.0000 29476.0000 29531.0000 502432.00   
"
planner-132-actual.txt,56,F,"09-03 15:00    29530.5000 29536.2500 29481.5000 29504.5000 70288.00    
"
planner-132-actual.txt,57,F,"09-03 19:00    29503.7500 29579.5000 29491.0000 29570.2500 121352.00   
"
planner-132-actual.txt,58,F,"09-03 23:00    29571.0000 29658.7500 29556.2500 29653.0000 143505.00   
"
planner-132-actual.txt,59,F,"09-04 03:00    29653.7500 29698.5000 29616.2500 29681.7500 108374.00   
"
planner-132-actual.txt,60,F,"09-04 07:00    29682.2500 29720.0000 29483.2500 29503.7500 907618.00     <- current
"
planner-132-actual.txt,61,F,"
"
planner-132-actual.txt,62,F,"### daily session candles (last 8)
"
planner-132-actual.txt,63,F,"Time(CT)       Open      High      Low       Close     Volume
"
planner-132-actual.txt,64,F,"09-02 22:11    29198.5000 29585.0000 29075.0000 29502.7500 2113311.00  
"
planner-132-actual.txt,65,F,"09-03 17:00    29500.0000 29720.0000 29481.5000 29503.7500 1318615.00    <- current
"
planner-132-actual.txt,66,F,"
"
planner-132-actual.txt,67,F,"
"
planner-132-actual.txt,68,F,"## Weekly Context
"
planner-132-actual.txt,69,F,"WEEKLY: refs only — PWH 29811.75 · PWL 28927.25
"
planner-132-actual.txt,70,F,"
"
planner-132-actual.txt,71,F,"## Indicators (executor mirror — your ai_config toggles, computed values)
"
planner-132-actual.txt,72,F,"### 1h
"
planner-132-actual.txt,73,F,"EMA50: [29264.2964, 29273.6475, 29282.8574, 29291.5492, 29300.9101, 29310.5901, 29320.5571, 29330.3490, 29340.8157, 29351.7445, 29360.5388, 29372.0079, 29383.2429, 29393.9883, 29405.2436, 29416.0870, 29421.2012, 29431.7914, 29435.2800, 29437.9651]
"
planner-132-actual.txt,74,F,"EMA200: [29331.2711, 29332.9773, 29334.7238, 29336.4131, 29338.3419, 29340.4255, 29342.6576, 29344.9222, 29347.4329, 29350.1401, 29352.3874, 29355.3786, 29358.3947, 29361.3684, 29364.5488, 29367.7051, 29369.4841, 29372.6858, 29374.1590, 29375.4485]
"
planner-132-actual.txt,75,F,"RSI14: [69.8168, 66.5953, 66.9298, 66.4315, 68.0791, 69.1861, 70.2648, 70.6231, 72.3825, 73.7764, 66.6899, 71.8452, 72.1764, 71.9692, 73.5246, 73.5745, 53.8692, 64.7504, 49.8383, 48.6356]
"
planner-132-actual.txt,76,F,"ATR14: 84.3005
"
planner-132-actual.txt,77,F,"### 4h
"
planner-132-actual.txt,78,F,"EMA50: [29453.4690, 29441.1859, 29429.3355, 29415.4302, 29401.9427, 29385.1312, 29372.4790, 29364.1269, 29355.4553, 29346.8982, 29340.6963, 29332.7082, 29332.6902, 29340.9573, 29347.3021, 29355.1628, 29365.5290, 29376.9690, 29389.2938, 29393.7822]
"
planner-132-actual.txt,79,F,"EMA200: [29229.2092, 29228.3240, 29227.4352, 29225.9160, 29224.3795, 29221.8807, 29220.2948, 29219.6899, 29218.9268, 29218.1141, 29217.8219, 29217.0177, 29218.1643, 29221.4015, 29224.2010, 29227.4204, 29231.3217, 29235.5598, 29240.0940, 29242.7174]
"
planner-132-actual.txt,80,F,"RSI14: [35.9581, 37.8289, 37.7861, 35.5612, 35.4475, 32.1055, 37.8387, 43.4298, 42.7258, 42.4675, 45.6380, 43.0695, 53.6651, 61.9224, 59.7118, 61.3526, 63.8785, 65.1685, 66.3345, 55.3332]
"
planner-132-actual.txt,81,F,"ATR14: 164.5878
"
planner-132-actual.txt,82,F,"### 1d
"
planner-132-actual.txt,83,F,"EMA50: [29178.1025, 29195.6671, 29221.4547, 29259.3780, 29293.9809, 29325.4326, 29335.6509, 29342.5960, 29340.9452, 29342.7806, 29333.4853, 29331.2604, 29329.6227, 29343.9807, 29349.7756, 29356.1765, 29347.1304, 29340.8213, 29348.0342, 29354.1407]
"
planner-132-actual.txt,84,F,"EMA200: [27218.0028, 27241.9630, 27267.9459, 27297.0062, 27325.3121, 27352.8811, 27375.1012, 27396.3713, 27415.3179, 27434.9441, 27451.5690, 27469.7300, 27487.8372, 27509.8065, 27529.5273, 27549.2633, 27564.9473, 27581.0797, 27600.4197, 27619.3583]
"
planner-132-actual.txt,85,F,"RSI14: [55.5064, 54.2614, 56.4168, 59.4525, 58.8371, 58.2021, 51.5264, 50.6282, 48.0163, 49.1770, 45.6307, 48.0759, 48.2627, 53.9488, 50.9223, 51.2292, 45.6258, 46.6118, 51.8506, 51.5129]
"
planner-132-actual.txt,86,F,"ATR14: 455.8262
"
planner-132-actual.txt,87,F,"### 15m
"
planner-132-actual.txt,88,F,"EMA50: [29587.0399, 29590.7246, 29593.4315, 29596.1694, 29599.1236, 29602.3638, 29603.9378, 29606.8422, 29604.8778, 29602.5885, 29600.4772, 29599.9977, 29600.6448, 29604.1980, 29605.9255, 29605.5265, 29602.7019, 29599.4881, 29597.1650, 29593.5017]
"
planner-132-actual.txt,89,F,"EMA200: [29308.1125, 29311.8229, 29315.2848, 29318.7472, 29322.2572, 29325.8342, 29328.9851, 29332.4579, 29334.6896, 29336.7972, 29338.9062, 29341.3872, 29344.1247, 29347.5787, 29350.5704, 29353.0100, 29354.8059, 29356.4571, 29358.2859, 29359.7333]
"
planner-132-actual.txt,90,F,"RSI14: [65.9239, 66.1879, 57.9667, 58.8728, 61.0066, 63.5377, 50.1210, 58.6299, 36.0252, 34.8036, 35.3220, 43.7753, 48.9175, 59.4781, 52.7254, 45.8770, 39.3504, 38.1532, 41.1045, 37.4975]
"
planner-132-actual.txt,91,F,"ATR14: 55.8040
"
planner-132-actual.txt,92,F,"### 3m
"
planner-132-actual.txt,93,F,"EMA50: [29616.4176, 29614.6561, 29613.2382, 29611.6505, 29608.5857, 29605.6510, 29602.4294, 29599.2165, 29595.3452, 29592.4199, 29589.2172, 29586.1597, 29583.8005, 29581.4848, 29579.8677, 29577.4905, 29574.2752, 29571.4213, 29568.6401, 29566.0954]
"
