ct_CT,cycle_event,recomputed_stop,row35_branch_taken,stop_px_written_to_db,bracket_modify_sent,evidence
08:50:54,composition only (leg dormant; no wait_confirm MET),29345.52,none (no row yet),no,no,"nofx_2026-09-02.log:84594"
09:00:54,composition only (leg dormant; no wait_confirm MET),29349.90,none (no row yet),no,no,"nofx_2026-09-02.log:84939"
09:02:54,arm authored + placed,29354.91,"row.ID==0 -> UpsertArm CREATE (id 35)",yes 29354.91,n/a (initial place),"log:84978-84982; PlaceLimitEntry(entry 29285.00 SL=r.StopPx 29354.91 TP 29144.50); signal f2b1eb20-f89e-4a88-bcff-5ce971d17861"
09:05:14,ENTRY FILL at broker,,,"",,"trader_positions.id=591 entry_time 09:05:14 @29285.00"
09:05:35,"recompute; row still working -> ELSE branch",29351.63,"row.ID!=0 -> else branch: overwrite + UpsertArm(working)",yes 29351.6284728996 (FINAL persisted value),NO,"log:85026-85027 has 'wait_confirm MET' but NO 'armed ... limit' line (that line lives in the row.ID==0 branch) and NO 'bracket modify (churn guard)' line"
09:05:35,fill consumed (end of runArmedPlacement),,,"",,"log: 'armed fill S1 @ 29285.00 ... stamp pending (reconcile completes it)'"
09:06:54,"row now terminal -> row.ID==0 -> UpsertArm returns nil (terminal+same version 2)",29352.65,"row.ID==0, no write",no,no,"log:85056-85059"
09:08:54,same,29354.44,"row.ID==0, no write",no,no,"nofx_2026-09-02.log"
09:10:54,same,29352.40,"row.ID==0, no write",no,no,"nofx_2026-09-02.log"
09:12:54,same,29354.86,"row.ID==0, no write",no,no,"nofx_2026-09-02.log"
09:15:01,same,29350.67,"row.ID==0, no write",no,no,"nofx_2026-09-02.log"
09:20:45,STOP-OUT,,"",,,"close_sync.go:180 'exit fill recorded: MNQ SHORT qty=1.00 @ 29355.00 (tick-exact, pnl -140.00)'"
10:28:29,"boot: reconcile stamps armed-fill lineage (bumps updated_at, NOT stop_px)",,"",no,no,"reconcile.go:552 'armed-fill lineage stamped - pos 591'; armed_orders.updated_at=2026-09-03 15:28:29+00:00 = 10:28:29 CT"
