rule,file_line,resolved_value_boot8,label,grounding_report_line,live_effect,conforms,drift_detail,production_callers
B1 BD_MIN_DISP_ATR displacement floor,kernel/breakdown_continue.go:43-50 + :264-267,1.0xATR5m (env unset; boot 'entry law: bd_min_disp_atr=1.00'),T,2026-09-02-belief-census.md:41 (waterfall replay +$243),REJECT at write,yes,,2 (trader/auto_trader_planner.go:1722 live; trader/rootfix_shadow_ab.go:159 dormant SHADOW_AB_ENABLED unset)
B2a BD_MAX_PULLBACK,kernel/breakdown_continue.go:52-59,0.4 (resolver never called),I,2026-09-02-belief-census.md:42,NONE — DEAD,NO — census says 'author-time refusal'; resolved effect is zero,census claims a live author-time refusal; the function has no caller,0 — DEAD
B2b BD_CONFIRM_CLOSES / BD_MIN_CLOSES,kernel/breakdown_continue.go:65-72 + :260-263,1 (boot 'bd_min_closes=1'),I,2026-09-02-belief-census.md:42,REJECT at write (pullback mode only),NO — research/census value 2 vs resolved 1,census + knob-census both say 2; live is 1 since entry-mechanics E3 2026-08-30,2 (kernel/breakdown_continue.go:142 & :261 via auto_trader_planner.go:1722; kernel/plan_confirm.go:192)
B2c BD_MAX_LEVEL_DIST_ATR,kernel/breakdown_continue.go:74-84 + :237-240,5.0xATR5m,I,2026-09-02-belief-census.md:42,REJECT at write,yes,,1 (kernel/breakdown_continue.go:237 via trader/auto_trader_planner.go:1722)
B2d BD_MIN_SL_ATR (arm stop on waterfall),kernel/breakdown_continue.go:86-93 + :281-284,1.0xATR5m,I,none found — NOT in the census B rows,REJECT at write,NO — un-censused; disagrees with the live min-SL floor 1.5,two stop floors from two sources: 1.0 here vs 1.5 at min_sl.go:34,1 (kernel/breakdown_continue.go:281 via trader/auto_trader_planner.go:1722)
B3 close came back across voids the breakdown,kernel/breakdown_continue.go:171 + :257-259,on (session-day void scope; boot 'void scope: session-day window 1m x2000'),O,2026-09-02-belief-census.md:43,REJECT at write,yes,,1 (trader/auto_trader_planner.go:1722) + prompt VOID list kernel/class45_feeds_forward.go:171
B4 sweep_leg1_requires_touch,kernel/entry_law.go:169-175,touch required on leg 1 of a 2-leg sweep_reclaim,O,2026-09-02-belief-census.md:44,REJECT at write,yes,,1 (kernel/plan_doc.go:734 <- ValidatePlanDocWithCaps <- trader/auto_trader_planner.go:1660)
B5 FVG floors (disp / gap / CE width),kernel/fvg_entry.go:26-47 + :187-193 + :235,min_disp=1.5xATR ce_width=20pt lookback=40 (boot),R,2026-09-02-belief-census.md:45 (in-code citation),REJECT at write — but fvg_entry is a SHADOW condition (boot) so no such scenario can ever be placed,yes (values); effect DEMOTED by 0C shadow,boot 'conditions: shadow [breakout_retest fvg_entry]' — census called it 'gate' without noting the shadow,1 (trader/auto_trader_planner.go:1700)
B6 min-SL ATR leg,kernel/min_sl.go:34 + kernel/engine_position.go:227-231,1.5xATR5m (boot 'min-sl guard: atr_mult=1.5'),I,2026-09-02-belief-census.md:46 [I/C],REJECT (AI-entry decision path),NO — census value 1.0 vs resolved 1.5; and the demotion-queue #1 WARN-first ask was NOT done,0B RAISED it 1.0->1.5 and explicitly DEFERRED the WARN (2026-09-02-0b-exit-sanity.md:16),3 production sites (kernel/engine_position.go:227; trader/entry_gate.go:262-269; trader/armed_executor.go:1361)
B6b min-SL level-clearance leg,kernel/min_sl.go:40 + kernel/engine_position.go:236-252,2 ticks (0.50 pt on MNQ; boot 'level_clearance=2tick(s)'),I,2026-09-02-belief-census.md:46,REJECT (AI-entry decision path),yes,,1 (kernel/engine_position.go:248)
B7 stale-confirm 2.0xATR5m,kernel/plan_confirm.go:124-131 + :177,2.0xATR5m (boot 'S-wave: stale_confirm=2.0xATR5m'),T,2026-08-26-s-fix-wave.md:48 (46-54% marked vs 1.3% = 38/2908 under the old unit),ADVISORY annotation + one telemetry counter — NOT a gate,NO — census says 'gate (arm/confirm evaluation)'; measured effect is zero gating,census B7 overstates the effect; demotion-queue #5 'WARN-first' is moot,2 (kernel/plan_confirm.go:177 advisory text; trader/armed_executor.go:180 -> declineHadFreshMet -> telemetry only at trader/auto_trader_loop.go:791)
B8 arm R:R floor,trader/armed_executor.go:68-83 + trader/entry_gate.go:251-259,2.0 (boot 'arm_rr=2.0'; DB strategy a5b7662e ai_config.risk_control.min_risk_reward_ratio=2),T,2026-09-02-belief-census.md:48 (n=18 +$994),REJECT (both paths),yes (value); SOURCE changed,census cites ARM_MIN_RR at armed_executor.go:33; ARM_MIN_RR is DELETED (R1 owner ruling 2026-09-03) — now store.ResolveMinRiskReward,2 (trader/armed_executor.go:1352; trader/entry_gate.go:256 via entryGateForArm:510 and entryGateForDecision:333)
B9 marketable-wrong-side limit never placed,trader/armed_executor.go:981-996 + :940 + :955,on,R,2026-09-02-belief-census.md:49 (08-30 incident),gate (cancel the arm; never placed),yes,,2 (trader/armed_executor.go:940 stop-entry; :955 limit)
B10 terminal arm re-authorizes only on version change,store/armed_orders.go:243-260,on + boot-sweep exemption (0B owner ruling 2026-09-02),R,2026-09-02-belief-census.md:50 (08-30 incident),gate,yes,,1 (store/armed_orders.go:258 via trader/armed_executor.go:377 UpsertArm)
D2(census) zoneEvidenceByKind + zoneTFMult,kernel/levels_score.go:148-157,"OB 1m .40/15m .50/1h .70/4h .72; FVG/IFVG/Supply/Demand .35/.45/.65/.65; TFmult 1.0/1.1/1.2/1.3",I,2026-09-02-belief-census.md:63,weight (level grade),yes,,in-package weight path (kernel/levels_score.go zone scoring)
