path,git log -1 at integrated head
clock-seams.list,"0babd0902d1bb74e5f44fce1fc4350e42a8cbdeb 2026-09-08T16:22:32-05:00 feat(research): link attempts, permissions, broker receipts and corrected outcomes"
cmd/research_export/main.go,896aeea5abb2faa2daabe247b7c551ab9f30ac9a 2026-09-08T15:55:50-05:00 feat(research): capture scorer evidence and stage append-only snapshot writers
docs/superpowers/AUDIT-CHECKLIST.md,95e7b420df0960edc67a91ff2a719fe105f441ae 2026-09-08T16:20:22-05:00 docs(scenario-economics): assign class 92 at integration
docs/superpowers/SYSTEM-MAP.md,130176180a3e9d90f89efc4107a2e7bad44d9e61 2026-09-08T16:40:20-05:00 Merge remote-tracking branch 'origin/dev' into fix/stage-a-snapshot
docs/superpowers/reports/2026-09-08-confirmation-truth.md,72bb9de08f7fee83f2b45a5219ec14bd17a30340 2026-09-08T15:23:33-05:00 deploy: verify combined plan-liveness and confirmation boot f8bc7044
docs/superpowers/reports/2026-09-08-plan-liveness-confirmation-cutover.md,72bb9de08f7fee83f2b45a5219ec14bd17a30340 2026-09-08T15:23:33-05:00 deploy: verify combined plan-liveness and confirmation boot f8bc7044
docs/superpowers/reports/2026-09-08-plan-liveness.md,72bb9de08f7fee83f2b45a5219ec14bd17a30340 2026-09-08T15:23:33-05:00 deploy: verify combined plan-liveness and confirmation boot f8bc7044
docs/superpowers/reports/2026-09-08-scenario-economics-data/call-sites.json,"0533c8d052e8f871af26d8725522a019d0ebafe1 2026-09-08T16:19:16-05:00 test(scenario-economics): pin write boundary, legacy parity and counter mutations"
docs/superpowers/reports/2026-09-08-scenario-economics-data/candidate-build.json,c98ed6f25b69406692a9a844039b723433648eb8 2026-09-08T16:26:46-05:00 docs(scenario-economics): pin Guide and candidate receipt to clean merged build
docs/superpowers/reports/2026-09-08-scenario-economics-data/census.json,59af58fd54a74f1422296ac651a0c687c2072d33 2026-09-08T15:41:24-05:00 docs(scenario-economics): measure premises and stop on legacy contract conflict
docs/superpowers/reports/2026-09-08-scenario-economics-data/checklist-census.txt,59af58fd54a74f1422296ac651a0c687c2072d33 2026-09-08T15:41:24-05:00 docs(scenario-economics): measure premises and stop on legacy contract conflict
docs/superpowers/reports/2026-09-08-scenario-economics-data/implementation-source-freshness.txt,c98ed6f25b69406692a9a844039b723433648eb8 2026-09-08T16:26:46-05:00 docs(scenario-economics): pin Guide and candidate receipt to clean merged build
docs/superpowers/reports/2026-09-08-scenario-economics-data/kernel-red.txt,"0533c8d052e8f871af26d8725522a019d0ebafe1 2026-09-08T16:19:16-05:00 test(scenario-economics): pin write boundary, legacy parity and counter mutations"
docs/superpowers/reports/2026-09-08-scenario-economics-data/legacy-read-after.json,"0533c8d052e8f871af26d8725522a019d0ebafe1 2026-09-08T16:19:16-05:00 test(scenario-economics): pin write boundary, legacy parity and counter mutations"
docs/superpowers/reports/2026-09-08-scenario-economics-data/legacy-read-before.json,"0533c8d052e8f871af26d8725522a019d0ebafe1 2026-09-08T16:19:16-05:00 test(scenario-economics): pin write boundary, legacy parity and counter mutations"
docs/superpowers/reports/2026-09-08-scenario-economics-data/legacy-read-probe.go.txt,"0533c8d052e8f871af26d8725522a019d0ebafe1 2026-09-08T16:19:16-05:00 test(scenario-economics): pin write boundary, legacy parity and counter mutations"
docs/superpowers/reports/2026-09-08-scenario-economics-data/measure.py,59af58fd54a74f1422296ac651a0c687c2072d33 2026-09-08T15:41:24-05:00 docs(scenario-economics): measure premises and stop on legacy contract conflict
docs/superpowers/reports/2026-09-08-scenario-economics-data/mutations.json,"0533c8d052e8f871af26d8725522a019d0ebafe1 2026-09-08T16:19:16-05:00 test(scenario-economics): pin write boundary, legacy parity and counter mutations"
