rule,file_line,resolved_value_now,label,report_line_grounding,live_effect,conforms,drift_detail,production_callers
guardrails master switch (guardrails_enabled),kernel/engine_analysis.go:152 + :173,"false (OFF) — resolved: boot-8 ledger line 'guardrails=master=OFF (soft-audit only)' 08:30:11 CT + 9/9 cycles printed the master-OFF WARN",O,2026-08-30-knob-census.md:86 (guardrails_enabled false [O]),"WARN-only + soft-audit; bypasses ALL 5 daily guardrails",yes,"research false = resolved false",1 (kernel/engine_analysis.go:152)
daily loss limit ($),kernel/risk_limits.go:244,"$450 configured; daily_loss_enabled=false; master OFF -> NOT enforced",O,2026-09-03-mc-drawdown.md:32; 2026-08-30-knob-census.md:81,"soft-audit line only (362 WOULD-trip lines in 20 days of logs); 0 enforcement fires in the 20 retained log files (2026-08-16→09-04)",yes,"research 450/inert = resolved 450/inert (double-disabled)",1 (kernel/engine_analysis.go:183)
daily profit target ($),kernel/risk_limits.go:247,"$900 configured; daily_profit_enabled=false; master OFF -> NOT enforced",O,2026-08-30-knob-census.md:82,"none — 0 soft lines and 0 enforcement fires in the 20 retained log files (2026-08-16→09-04)",yes,"research 900 = resolved 900",1 (kernel/engine_analysis.go:183)
max_daily_trades,kernel/risk_limits.go:250,"3 configured; max_daily_trades_enabled=false; master OFF -> NOT enforced",O,2026-09-04-two-day-audit.md:619 and :925 (D38),"soft-audit only (2431 WOULD-trip lines); position 590 opened as 4th entry of session-day 2026-09-01",yes,"research 3/NOT-ENFORCED = resolved 3/NOT-ENFORCED",1 (kernel/engine_analysis.go:183)
blackout window,kernel/engine_analysis.go:188,"blackout_enabled=false; blackout_start_ct/end_ct ABSENT -> unconfigured; master OFF",I,"no report line found",none — cannot fire (unconfigured AND toggled off AND master off),yes,"n/a — no research value",1 (kernel/engine_analysis.go:188)
consistency rule (consistency_max_day_pct),kernel/engine_analysis.go:196,"consistency_enabled ABSENT (nil -> default false); consistency_max_day_pct ABSENT (0)",I,"no report line found",none — 0 fires in the 20 retained log files (2026-08-16→09-04),yes,"n/a",1 (kernel/engine_analysis.go:196)
consecutive_loss_halt,trader/auto_trader_orders.go:116,"0 (key ABSENT from risk_control) -> OFF",I,"no report line found",would REJECT new entries; currently OFF; 0 fires in the 20 retained log files (2026-08-16→09-04),yes,"n/a",1 (trader/auto_trader_orders.go:250)
futures notional ceiling (equity x N),kernel/risk_limits.go:343 / trader/auto_trader_risk.go:255,"max_notional_leverage ABSENT -> venue default 20.0; ceiling = 51906.50 x 20 = $1,038,130",I,"no report line found",gate at validate + cap at execute; ALWAYS ON (master-independent); INERT (1 MNQ ~ $58k),yes,"n/a — never binds at size 1",2 (kernel/engine_analysis.go:557; trader/auto_trader_risk.go:255)
per-order contract clamp,kernel/risk_limits.go:284,"max_contracts_per_order=2 -> ResolveMaxContracts(2,2) -> ClampStageAContracts -> 1",O,2026-09-03-mc-drawdown.md:44-45,clamp at execute; ALWAYS ON; never reduces below the StageA 1,yes,"research 'config 2 but clamp governs -> 1' = resolved 1",1 (trader/auto_trader_orders.go:57 -> :532 and :680)
position size (StageA cap),kernel/risk_limits.go:305-320,"STAGE_A_CONTRACT_CAP unset -> 1; boot line 'size=1'",O,2026-09-04-two-day-audit.md:609,hard size ceiling; every order sizes 1; arm path hardcodes qty 1,yes,"research 1 = resolved 1",2 (trader/exit_mechs_suspend.go:100 boot line; kernel/risk_limits.go:289 via ResolveMaxContracts)
concurrent-position cap (max_positions),kernel/risk_limits.go:331 + engine_analysis.go:133,"max_positions=3 (strategy) beats env fallback 2 -> cap 3, source 'strategy max_positions'",O,2026-08-30-knob-census.md:76,skip-cycle HOLD at >=3 open; 0 fires in the 20 retained log files (2026-08-16→09-04); superseded by one_open_position (cap 1),yes,"research 3 = resolved 3",1 (kernel/engine_analysis.go:133)
enforceMaxPositions (executor),trader/auto_trader_risk.go:302,"3 (same strategy value)",O,2026-08-30-knob-census.md:76,REJECT at execute; 0 fires in the 20 retained log files (2026-08-16→09-04),yes,"research 3 = resolved 3",2 (trader/auto_trader_orders.go:483 and :631)
leverage caps (btc_eth/altcoin),kernel/engine_position.go:82-85,"5 / 5; futures branch does NOT override maxLeverage so MNQ is clamped to 5",X,2026-08-30-knob-census.md:77,LABEL-only on futures — d.Leverage is never used to size an MNQ order,"NO — research records a live 5x cap; resolved: clamps a field that no futures code path consumes",research '5/5 [O] risk knob' vs resolved 'clamps decision.Leverage which futures sizing ignores (futuresOrderQuantity uses notional/(px*pointvalue))',1 (kernel/engine_position.go:82)
isAccountTradeable SIM-only block,trader/ninjatrader/tcp_trader.go:292,"ON, untoggleable; NT_ALLOWED_ACCOUNTS unset -> allow-list empty -> any SIM account passes; bound account Sim101 (IsSim from C#)",O,"CLAUDE.md SIM-only canon; no report line found",REJECT before the frame is sent; 0 refusals in the 20 retained log files (2026-08-16→09-04) (only SIM ever bound),yes,"n/a",3 (tcp_trader.go:333 placeEntry; :438 PlaceLimitEntry; :501)
per-session trade cap (day_plan sessions.max_trades),trader/auto_trader_session.go:74,"NY 10 / ASIA 7 / LONDON 10 — master-INDEPENDENT",O,2026-09-03-mc-drawdown.md:36,REJECT new entries; the ONLY trade cap that has ever fired (6 refusals 08-19/08-20 ASIA at 3/3),yes,"research 10/7/10 = resolved 10/7/10",1 (trader/auto_trader_session.go:43 -> auto_trader_orders.go:281)
drawdown auto-close (profit>5% & dd>=40%),trader/auto_trader_risk.go:138,"hardcoded 5.0% / 40.0%; NT8 reports leverage=1.0 so pct is raw price %",I,"no report line found",would CLOSE a position; DEAD IN PRACTICE — max MFE on tape 156.75pt = 0.533% of entry (n=251 closed rows / 65 with MFE>0); 0 fires in the 20 retained log files (2026-08-16→09-04),"NO — no research supports 5%/40% on a 0.5%-MFE instrument",invented thresholds vs measured max MFE 0.533%,1 (trader/auto_trader_risk.go:100 monitorTick -> checkPositionDrawdown)
RiskLimits.Classify (force-flat classifier),kernel/risk_limits.go:87,n/a,M,"A29",DEAD — 0 callers anywhere (not even a test),NO — dead code,"the RiskForceFlat class is produced by DailyGuardrails.Check but DISCARDED at the only call site (engine_analysis.go:183 '_, gErr := g.Check()') so a daily-loss trip HOLDS the cycle, it never force-flats","0 — DEAD"
max_contracts_enabled / notional_cap_enabled toggles,store/strategy.go:1741 and :1748,"both false in DB",M,"store/strategy.go:1747 comment 'Deprecated (6.4 ruling B) — parse-only'",none — parse-only,NO — dead knobs,"persisted and rendered but read by ZERO production code (only kernel/risk_config_truth_test.go and trader/caps_always_on_test.go)","0 — DEAD"
