id,trade_date,session,attempt,reject_reason,created_at,prompt_shape,sha256
69,2026-09-01,NY,2,"arm on S2 needs EXACTLY 2 legs (split contract), got 1",2026-09-01 16:59:57.290493794+00:00,repair,75ee3130e318fcd1aa0657169252d1c8ea7fde2cbc455890a51d10dbd871692a
70,2026-09-01,NY,3,"scenario[0].confirm2.rule ""1m_mss"" not allowed for breakdown_continue — entry law: 1 confirming close + displacement ≥ BD_MIN_DISP_ATR×ATR5m OR stop-entry (E7); 2x5m legal ONLY here",2026-09-01 17:06:32.135166487+00:00,full,6be75092549b96f765d1ec7d8c4167424c4f19baa519ca1edf18d2d6b0698af3
71,2026-09-01,NY,1,stream interrupted: context deadline exceeded (Client.Timeout or context cancellation while reading body),2026-09-01 17:33:07.176072345+00:00,full,53122b35095d4440af3e17bdc0e8daf119f58b634f961ffd838da65ffa48a0c8
72,2026-09-01,NY,2,stream interrupted: context deadline exceeded (Client.Timeout or context cancellation while reading body),2026-09-01 17:43:07.12590484+00:00,full,b2116c923162d2c031279e0a3fd1e3facb8eb1542ea663ec6f5a2df75bea3993
73,2026-09-01,NY,3,S2 breakdown_continue: a close came back across 29125.00 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-01 17:52:48.127935959+00:00,full,b2116c923162d2c031279e0a3fd1e3facb8eb1542ea663ec6f5a2df75bea3993
74,2026-09-01,NY,1,S1 breakdown_continue: a close came back across 29100.50 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-01 17:59:12.314812245+00:00,full,f7633096e790571abfc987867988da6e1d3e65067dee307f164a79b9ab80b262
75,2026-09-01,ASIA,1,S1 breakdown_continue: a close came back across 29130.50 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-01 22:10:09.487645341+00:00,full,1338de68604e1a369bd74b6d62110de02701b1c88138588adb19a8bcaec3dc90
76,2026-09-01,ASIA,2,"scenario[0].confirm.rule ""1x5m_close"" — fade_requires_touch (a reject fade enters on the touch at the level, never on a close-confirm: touch-entry at the level (limit), stop behind structure by ≥2 ticks)",2026-09-01 22:15:51.851714563+00:00,repair,290038d3caceb9d921d5640572c01dc68d86625ed450e23b0c38f7e57f9b7760
77,2026-09-01,ASIA,3,S2 breakdown_continue: a close came back across 29130.50 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-01 22:23:14.529859293+00:00,full,54f4ab193eec3c4e62f580d795a15696f2952288384d46e3768ae34fccb97ff6
78,2026-09-01,ASIA,1,"scenario[0].confirm2.rule ""1m_mss"" not allowed for breakdown_continue — entry law: 1 confirming close + displacement ≥ BD_MIN_DISP_ATR×ATR5m OR stop-entry (E7); 2x5m legal ONLY here",2026-09-01 22:47:32.190745274+00:00,full,c9ab05d2b5b2806db7dbca80543ab4112e9171d395a7fef0820950203d6be653
79,2026-09-01,ASIA,2,"scenario[0].confirm2.rule ""2x5m"" invalid (touch|1x5m_close|2x5m_close|1m_mss|time_hold)",2026-09-01 22:53:33.015469323+00:00,repair,d14e4c23afa0ef992641af3c2dd53e1a5ab9746c0017e1062147f93e2fd8caef
80,2026-09-01,ASIA,3,arm legs on breakdown_continue — arm_legs_sweep_reclaim_only (the split entry is the sweep_reclaim contract; other conditions arm single),2026-09-01 23:00:41.404223272+00:00,full,73d4639a192096ddf6dc4f42915520ccaa763b1b2f0a342bb81a2a3be09f4638
81,2026-09-01,ASIA,1,"scenario[3].confirm2.rule ""touch"" not allowed for breakup_continue — entry law: 1 confirming close + displacement ≥ BD_MIN_DISP_ATR×ATR5m OR stop-entry (E7); 2x5m legal ONLY here",2026-09-02 01:59:42.273354695+00:00,full,4cd15a2a2dfacd03a2c60610caa492ddb06a34cc6c2beb90ca72290951c2d9e3
82,2026-09-01,ASIA,2,"scenario[3].confirm2.rule ""displacement"" invalid (touch|1x5m_close|2x5m_close|1m_mss|time_hold)",2026-09-02 02:05:17.059721908+00:00,repair,92dbe40e7a01e86c0df22ddfcd2c46bb97d8598b517d75fbd3e94b218d5f876b
