rank,belief,census_label,census_teeth,demote_to,file_line_now,resolved_value_now,verdict,production_callers
1,min-SL 1.0xATR5m + 2t,[I],REJECT at write,"WARN-first + sweep the multiplier",kernel/min_sl.go:34;40,atr_mult=1.5 clearance=2t,"NOT DEMOTED - still REJECT; value RAISED 1.0->1.5 and re-grounded [R]+[T] (min_sl.go:18-32)",13 (kernel/engine_position.go:250)
2,Swing seats improve level turns,[X],seated weight,"re-test; likely unseat or reduce",kernel/levels_score.go:104;kernel/levels_swing.go:38,typeEvidence 0.85 anchor ladder 1.0/0.8/0.6/0.5,"UNCHANGED - still seated at 0.85 with [X] on own tape",3 (kernel/levels_assemble.go:81)
3,Level-event wakes deserve a re-read,[T]-weak,full REPLAN budget-free,"WARN-first N=25 then advisory",trader/class47_wake_cadence.go:52;59,cutoff=25m(enforce) cooldown=30m(enforce),"PARTIAL - throttled by class 47 (WARN-first flipped to ENFORCE 09-03); still a full REPLAN trigger when it passes",2 (trader/auto_trader_wake_levels.go:291)
4a,BD_MAX_PULLBACK 0.4,[I],author-time refusal,WARN-first,kernel/breakdown_continue.go:52,0.4,"DEAD - bdMaxPullbackFrac() has ZERO callers; the PlanBreakdownContinue.Pullback field is never read",0 -- DEAD
4b,BD_CONFIRM_CLOSES 2,[I],author-time refusal,WARN-first,kernel/breakdown_continue.go:65,BD_MIN_CLOSES=1,"RELAXED not demoted - default 2->1 by E3 entry-mechanics 2026-08-30 (predates the census; the census row was already stale)",4 (kernel/breakdown_continue.go:262)
5,stale-confirm 2.0xATR5m,[I],MET-confirm staleness gate,WARN-first + measure,kernel/plan_confirm.go:131,2.0,"SPLIT - prompt path is ADVISORY TEXT ONLY (plan_confirm.go:155-156); arm path still a hard gate. Label is [T] not [I]: plan_confirm.go:118-123 cites register S2 n=2908",2 (trader/armed_executor.go:180)
6,zoneTFMult + zoneEvidenceByKind + freshness/anchor ladders,[I],multiplicative weights,sensitivity sweep,kernel/levels_score.go:148;157;205;437 + levels_swing.go:22,"OB .40/.50/.70/.72; TFmult 1.0/1.1/1.2/1.3; zone fresh 1.0/.6/.3/.15; anchor 1.0/.8/.6/.5","MEASURED-INCONCLUSIVE - level-kind-replay.md:366 'Grader ruling stands: nothing changes; every ladder term keeps its [I] label'. Values UNCHANGED",many (kernel/levels_score.go:437)
7,Pre-NY sessions carry edge,[X]-candidate,LONDON/ASIA enabled,owner decision,trader/auto_trader_planconfig.go:105-113,"sessions_enabled=[NY] BUT sessions[].enable=true for ASIA and LONDON","UNCHANGED with live teeth - 46 ASIA + 26 LONDON plans since 2026-08-28. The teeth are day_plan.sessions[].enable, NOT sessions_enabled",1 (trader/auto_trader_planconfig.go:73)
8,Consumed/3rd-touch -> never entry,[I],role demotion,measure react rate,kernel/levels_role.go:109-118,"consumed|done -> RoleTargetOnly; far-HTF zone -> RoleTargetOnly","MEASURED-INCONCLUSIVE - level-kind-replay.md:345 ordinal 1st 0.688 (n=125) > 2nd 0.571 (n=63) ~ 3rd+ 0.571 (n=28), report calls it n-tiny with no stable direction. Code UNCHANGED",2 (kernel/levels_role.go:443)
9,Killzone/premium-window + Mon/Thu conviction,[I],advisory prompt lines,keep advisory + n counter or delete,kernel/planner_prompt.go:654-656,"NY AM 08:30-11:00 CT primary; 10:00-11:00 premium; 'Conviction: down on Monday, up Thursday/Friday'","UNCHANGED - no n counter added. Killzone gained EXTRA teeth: kernel/adherence.go:76 steps the adherence grade down one letter for an entry outside a killzone",1 prompt + 1 grade (kernel/adherence.go:76)
