rule,file_line,resolved_value_now,label,report_line_grounding,live_effect,conforms,drift_detail,production_callers
C1a htf_veto MODE,kernel/htf_veto.go:40-51,"cross (env HTF_VETO_MODE=cross, /home/hoang/nofx/.env:34; boot 🛡️ htf veto: mode=cross tf=1h)",O,2026-08-28-grand-audit-bcde-verdict.md:17 (S4) + 2026-08-29-weekend-audit-p2.md:33/48,"gate — but UNSATISFIABLE: snap[\"4h\"] never exists",NO,"research: cross = 1h AND 4h agree, blocks counter-trend. live: 0 blocks possible — StructureTFs=[5m 15m 1h] (kernel/structure.go:34) so ok4 is always false at htf_veto.go:96",2 (kernel/engine_position.go:262; trader/armed_executor.go:1373)
C1b htf_veto TF,kernel/htf_veto.go:21-29,"1h (HTF_VETO_TF unset; DefaultHTFVetoTF)",O,2026-09-01-full-system-audit.md:47 (boot ledger quoted),"gate input — IGNORED while mode=cross (htf_veto.go:92-101 never reads tf)",NO,"research/boot: tf=1h drives the veto. live: mode=cross short-circuits before the tf branch",2 (trader/auto_trader_loop.go:418; trader/armed_executor.go:1373)
C1c htf_veto ENABLED,store/resolve_source.go:38-44,"true (strategy a5b7662e has no regime block -> SourceShippedDefault)",O,2026-09-02-belief-census.md:56,"gate (toggle) — on, but the verdict beneath it is dead",yes,,2 (trader/auto_trader_loop.go:415-421; trader/armed_executor.go:1372)
C2 VIX regime bands,kernel/regime.go:164-175 (vixBucket); guard :94-98,"<15 / 15-20 / 20-30 / >30 — NEVER EVALUATED (RegimeInputs.VIX never set)",I,2026-09-02-belief-census.md:57,"advisory — 0 evaluations; feeds only the dark-regime WARN as a permanently-dark field",NO,"census says 'advisory (dark-regime WARN)'. live: the bucket function has 0 reachable production evaluations; vix_level is the ONLY dark field in 16 of 16 alert lines on 09-03/09-04",0 REACHABLE — DEAD (guard kernel/regime.go:94 never true; only call site kernel/regime.go:97)
C3 ATR regime buckets,kernel/regime.go:152-163 (atrBucket); pctile :74-77,"LOW <25 / NORMAL <75 / HIGH <90 / EXTREME >=90 (percentile rank of rolling daily ATR14)",I,2026-09-02-belief-census.md:58,"advisory — string into the planner prompt field BiasRegime",yes,,1 (trader/auto_trader_planner.go:2208 -> :2443 BiasRegime)
C4 swing k,kernel/structure.go:57-64,"2 (STRUCTURE_SWING_K unset -> DefaultStructureSwingK)",T,2026-08-29-weekend-audit-p2.md:48 (swing-k KEEP 2, best 7/9 days); contra 2026-08-28-grand-audit-bcde-verdict.md:70 (k=3 halves churn free),"detector input — seats SWG-H/L 5m+15m levels AND feeds the (dead) htf_veto trend + transition stand-down",yes,,"6 (kernel/levels_swing.go:45,65,80; kernel/structure.go:201; kernel/levels_assemble.go:81,135,184)"
C4 min-swing ATR,kernel/structure.go:66-74,"0.25 (STRUCTURE_MIN_SWING_ATR unset)",I,2026-08-30-knob-census.md:65 labels the trio [C] (speculation) — belief-census.md:59 says [I],detector input,yes,,2 (kernel/structure.go:238; kernel/levels_swing.go:120)
C4 MSS body ATR,kernel/structure.go:76-84,"1.5 (STRUCTURE_MSS_BODY_ATR unset)",I,2026-08-30-knob-census.md:65,"detector input — MSS event emission; consumed by transition stand-down (0 live fires all-time)",yes,,"3 (kernel/structure.go:334,357; kernel/regime_ledger.go:14)"
C5 stale_reeval drift,trader/discard_burn.go:38 + :50-57,"0.25 x ATR(14,5m) (STALE_REEVAL_DRIFT_ATR unset -> defaultReevalDriftATR)",T,2026-08-29-weekend-audit-p2.md:42 (stale_reeval n=5 -$372.5 SAVING — the hero gate),"REJECT (clean skip) — live n=34: 19 pass / 15 refused across data/nofx_2026-08*..09-04 logs",yes,,"2 (trader/auto_trader_loop.go:796 reevalSupersededEntries; :805 pass-line)"
C6a stale-bar grace,kernel/stale_data.go:46 + :49-57,"15 s (STALE_BAR_GRACE_S unset)",R,2026-08-19-total-e2e-investigation.md:2 (the C2/staleness fix wave),"REJECT — entry neutralized to wait; 0 live fires 09-01..09-04",yes,,1 (kernel/engine_analysis.go:601 applyStaleDataBlock)
C6b C2 clock-drift tolerance,kernel/clock_drift.go:29,"60000 ms",R,2026-08-19-total-e2e-investigation.md:2 + 2026-08-19-zerotrade-forensics.md:111 (C2 is log-only now — signals feed-stamped),"WARN-only — NOT a gate; 25 DETECTED lines 09-01..09-03 blocked 0 entries",NO,"census C6 (belief-census.md:61) labels the effect 'gate'. live: applyClockDriftBlock logs + IncClockSkewObserved and never mutates d.Action (clock_drift.go:62-88)",1 (kernel/engine_analysis.go:613 applyClockDriftBlock)
C7 fast-market threshold,trader/auto_trader_loop.go:78-87,"1.5 x ATR5m since last plan write (FAST_MARKET_ATR unset)",T,2026-08-29-weekend-audit-p2.md:33/48 (KEEP 1.5 — '0 live triggers' EVENT-WAIT),"NOT a wake trigger: (a) reasoning-wire downgrade + FAST TAPE prompt line, (b) class-47 cooldown EXEMPTION",NO,"census C7 (belief-census.md:62) calls it a 'wake trigger'; live it modifies a wake that already fired. Also research 'n=0 live triggers' is STALE — 35 fires 08-30..09-03, 1 cooldown bypass",3 (trader/auto_trader_planner.go:1243; trader/auto_trader_wake_levels.go:292; trader/class47_wake_cadence.go:223)
C8 touch band,kernel/touch_telemetry.go:28-36,"16 ticks = 4.00 pts (TOUCH_BAND_TICKS unset)",I,2026-09-02-belief-census.md:63,"advisory — episode detection only",yes,,"3 (kernel/touch_telemetry.go:195 TouchUpdate <- kernel/engine_analysis.go:426; trader/auto_trader_watcher.go:326)"
C8 touch episode max bars,kernel/touch_telemetry.go:38-46,"12 bars",I,2026-09-02-belief-census.md:63,advisory,yes,,1 (kernel/touch_telemetry.go:196)
C8 touch approach bars,kernel/touch_telemetry.go:58-66,"5 bars",I,2026-09-02-belief-census.md:63,advisory,yes,,2 (kernel/touch_telemetry.go:198 in TouchUpdate; kernel/levels_volume_boot.go:16 boot line)
C8 'advisory zero gates' claim,kernel/touch_telemetry.go:16-17,"TRUE — verified across all 7 production consumers",I,2026-09-02-belief-census.md:63,"advisory/label + one WARN-only measurement input",yes,,"7 consumers, none gates: engine_analysis.go:426/431/502 (prompt lines), auto_trader_watcher.go:326/331 (watcher lines), auto_trader.go:688 (DB sink), ninjatrader/level_stats_wire.go:163 (NT8 chart), no_chase.go:232 -> entry_gate.go:288-293 which returns ('',false)"
C8b ResolvedTouchBandPoints,kernel/touch_telemetry.go:89-97,"k x Delta = 3.0 x MeanAbsIncrement (DETECTOR_K unset)",M,kernel/level_stats_calc.go:23 claims 'measurement consumers use kernel.ResolvedTouchBandPoints',none,NO,"the code comment says measurement consumers use it; nothing does",0 — DEAD (only kernel/detector_retirement_test.go:58/59/72)
