leg,peer_claim,measured_by_me,file_or_source,verdict
resolved_value,1.5xATR5m + 2tick,1.5xATR5m + 2tick,"boot line 09-04 08:30:11 CT rev 70af663d: 'min-sl guard: atr_mult=1.5 level_clearance=2tick(s)' /home/hoang/nofx/data/nofx_2026-09-04.log:3901 <- trader/auto_trader_dayplan.go:57 <- kernel.MinSLATRMult()",AGREE
env_override,MIN_SL_ATR_MULT absent from .env,"absent from .env AND from /proc/878451/environ (running PID)",kernel/min_sl.go:44-51,AGREE-and-strengthened
label,[R] researched,"[O] owner-ruled + [T] own tape; [R] NOT earnable","kernel/min_sl.go:20 '0B (owner ruling 2026-09-02): 1.0 -> 1.5'; 'Round-7 research' at :21 not locatable as any doc under docs/",REFUTED
research_value_1.0,"research (belief-census.md:46 B6) says 1.0xATR5m","census B6 labels it [I/C] = invented/code-canon, explicitly NOT researched",docs/superpowers/reports/2026-09-02-belief-census.md:46 + legend :10-19,REFUTED
census_freshness,census 1.0 is the research baseline,"census 1.0 was ALREADY STALE at its own commit: at ee64a494 (09-02 08:50:38) kernel/min_sl.go read 1.5; 4657560b (09-02 07:31:12) is an ancestor; census-cited lines 23-29 ARE the 1.0->1.5 ruling text","git merge-base --is-ancestor 4657560b ee64a494 = true; git show ee64a494:kernel/min_sl.go",REFUTED
conforms,NO,YES,"resolved 1.5 == owner-ruled 1.5 (kernel/min_sl.go:20); no competing researched value exists",REFUTED
production_callers,3,"17 call sites / 7 non-test files; 3 REJECT gates","kernel/engine_position.go:215/227/236/241/250; trader/entry_gate.go:262-268 (leg 6),:367,:427; trader/armed_executor.go:391,1361; trader/auto_trader_planner.go:1681,2381,2428; trader/auto_trader_dayplan.go:58; trader/no_chase.go:91,147; main.go:335,338",REFUTED-undercount
omitted_gate,kernel/engine_position.go not listed,"it is the ONLY min-SL gate with production fires: n=20 on 09-03","grep -c sl_too_tight nofx_2026-09-03.log = 20; sample 09-03 11:48:22 kernel/engine_position.go:229 'MIN-SL REJECT MNQ open_long: sl_too_tight: 42.8 < 1.5xATR (30.7)'",REFUTED-omission
dead_rule_check,n/a,"NOT dead: 20 REJECT fires 09-03; 0 fires 09-04 through 09:02:33",kernel/engine_position.go:227-229,ALIVE
warn_count_today,3,"6 'arm feasibility ... too close' WARNs on 09-04, 08:09:03-08:55:11 CT (7 arm-feasibility WARNs incl 1 R:R). Split by binary: 4 under rev 4f47ed2c (boot 07:38:40), 2 under deployed rev 70af663d (boot 08:30:11). 3 is the 09-03 count.","/home/hoang/nofx/data/nofx_2026-09-04.log lines 2194,2195,2196,3339,4950,5706",REFUTED-wrong-n
prompt_says_1.0,"kernel/planner_prompt.go:733 only","TWO stale strings: planner_prompt.go:733 (FEASIBILITY CONTRACT '>= 1.0x the current 5m ATR') AND planner_prompt.go:752 (WATERFALL PLAY 'min-SL >= 1.0xATR5m')",kernel/planner_prompt.go:733 and :752,CONFIRMED-and-undercount
prompt_has_no_resolved_floor,"implied: planner authors to 1.0 only","FALSE - the SAME prompt carries the resolved floor: '## Minimum stop distance this cycle / 48.9 pts (1.5xATR5m 32.59, resolved)' via kernel/planner_prompt.go:460 -> RenderStopFloorLine (kernel/class45_feeds_forward.go:195) <- trader/auto_trader_planner.go:2381 StopFloorMult=kernel.MinSLATRMult()","planner_rejected_prompts id=123 (2026-09-04 NY attempt 1) contains all THREE strings",REFUTED-framing
authored_stop_distribution,"3 WARNs today","n=6 authored arm stops measured at 1.03,1.12,1.14,1.23,1.42,1.47 x ATR5m - every one clears 1.0x and every one misses 1.5x","derived from the 6 WARN lines (dist / (floor/1.5))",CONFIRMS-their-mechanism
self_retraction,n/a,"the finding is the SUPERSEDED 099e436d text; its own author retracted it 5 min later in acd92e26 'min-SL is owner-ruled+cited (D2 answer is ZERO)'; the shipped report now says [R]/[O], conforms=yes","docs/superpowers/reports/2026-09-04-research-conformance.md:160-176 and :671 (git log -1 c28fd337)",REFUTED
