boot_ct,rev,pid,boot_line,gates_added
2026-09-02 00:01:07 CT,aeb11179df5a,not recorded in log,"🔐 BOOT INTEGRITY OK — rev aeb11179df5a · built 2026-09-02T04:12:33Z · expected aeb11179df5a · goldens PASS","class 39 legs normalizer: legs on a non-sweep condition collapse to a SINGLE arm + ⚖ WARN (never synthesize a sweep); recorded counter arms_normalized_class39. Build tree ~/clone-c39."
2026-09-02 00:10:21 CT,23f56f49a536,not recorded in log,"🔐 BOOT INTEGRITY REFUSED — rev 23f56f49a536 · built 2026-09-02T05:06:06Z · expected aeb11179df5a · goldens PASS","NONE — REFUSED boot. New binary swapped in before deploy/RELEASE was re-stamped; trading refused for ~87s. Build tree ~/clonepnl."
2026-09-02 00:11:48 CT,23f56f49a536,2097561 (per pnl-truth report),"🔐 BOOT INTEGRITY OK — rev 23f56f49a536 · built 2026-09-02T05:06:06Z · expected 23f56f49a536 · goldens PASS","class 40 P&L truth: corrected-column law on every prompt-facing P&L surface (pnl_corrected only; unresolved excluded + counted, never coerced); 🧾 P&L surfaces boot line. No new ENTRY gate."
2026-09-02 06:27:45 CT,d5a6e138da85,not recorded in log,"🔐 BOOT INTEGRITY OK — rev d5a6e138da85 · built 2026-09-02T11:15:37Z · expected d5a6e138da85 · goldens PASS","class 41 transport: identical-prompt resend on provider failure (M0); stream backoff 2s→15s→45s, AI_PLAN_STREAM_TRIES counts CALLS (M1); idle watchdog logs its fire (M2); 5xx/429 treated as provider failure. 🔁 stream-policy boot line. No entry gate."
2026-09-02 06:57:50 CT,8a756bba4a21,not recorded in log,"🔐 BOOT INTEGRITY OK — rev 8a756bba4a21 · built 2026-09-02T11:50:23Z · expected 8a756bba4a21 · goldens PASS","class 33 cutover safety: 5-leg flat gate GET /api/cutover-gate (leg 4 = real armed_orders ledger, was a stub passing vacuously; leg 5 = planner in-flight); BOOT-TIME ARM SWEEP — pre-boot WORKING arms cancelled at broker + ledger before any re-arm."
2026-09-02 07:32:15 CT,0d093c3b3a11,not recorded in log,"🔐 BOOT INTEGRITY OK — rev 0d093c3b3a11 · built 2026-09-02T12:22:31Z · expected 0d093c3b3a11 · goldens PASS","root-fix: planner-schema measurement (no cut) + shadow A/B instrument, DORMANT (SHADOW_AB_ENABLED off). ✂ schema + 🔬 shadow boot lines. No gate change."
2026-09-02 07:49:06 CT,4175e0b62de7,2674837 (per 0B marker),"🔐 BOOT INTEGRITY OK — rev 4175e0b62de7 · built 2026-09-02T12:44:37Z · expected 4175e0b62de7 · goldens PASS","0B exit sanity (class 43) — REAL BEHAVIOUR CHANGE: stop floor raised to 1.5×ATR5m (from 1.0×), stop anchored to seated structure + 2-tick clearance, anchor cap 3.0×ATR5m, BREAKEVEN OFF and TRAILING OFF (suspended behind a wire seam), size fixed at 1, re-arm after boot sweep. 🛑 exits boot line."
2026-09-02 08:10:30 CT,0465a10bfa4b,not recorded in log,"🔐 BOOT INTEGRITY OK — rev 0465a10bfa4b · built 2026-09-02T12:58:10Z · expected 0465a10bfa4b · goldens PASS","class 44 repair-parse: repair prompt now carries the vocabulary it is judged by (LiveConditionsLine + per-condition confirm table); outcome classification + recorded counters; config diff on Studio save. 🩹 boot line. No entry gate."
2026-09-02 17:51:14 CT,4d159022c114,not recorded in log,"🔐 BOOT INTEGRITY OK — rev 4d159022c114 · built 2026-09-02T17:30:48Z · expected 4d159022c114 · goldens PASS","bar-source wave: ONE bar resolver (CompletedBars/CompletedBar), per-TF fallback ladder as DATA, repaint law at one chokepoint, every cached TF persisted + per-TF retention, weekly reader. 📊 bars boot line. Changes what every gate READS, adds none."
2026-09-02 18:05:26 CT,e1b1176844aa,not recorded in log,"🔐 BOOT INTEGRITY OK — rev e1b1176844aa · built 2026-09-02T22:56:24Z · expected e1b1176844aa · goldens PASS","class 48 — ONE EntryGate for BOTH order paths. Before this boot the DECISION (market-entry) path BYPASSED the arm-seam gates entirely; positions 587/589/590 were opened on that unguarded path. Adds to the decision path: scenario-direction consistency, shadow-map, R:R-at-real-entry, min-SL×ATR5m."
2026-09-02 18:27:17 CT,f34925c0ae3a,not recorded in log,"🔐 BOOT INTEGRITY OK — rev f34925c0ae3a · built 2026-09-02T23:18:57Z · expected f34925c0ae3a · goldens PASS","class 46/49 instrument honesty: ONE failure classifier (ClassifyFailure), two-timer watchdog that can actually fire, per-read storm cap 5, httptrace replaces the blind socket watcher, boot fields READ from their enforcers. No entry gate."
2026-09-02 20:42:28 CT,575e9c05f2a3,not recorded in log,"🔐 BOOT INTEGRITY OK — rev 575e9c05f2a3 · built 2026-09-03T00:01:33Z · expected 575e9c05f2a3 · goldens PASS","class 45 prompt-feeds-forward: the planner prompt is told direction (not condition), the validator's own void levels, the stop floor, and cumulative rejects top+tail; repair rider attaches the per-condition CONFIRM TABLE. Changes what the model is ALLOWED to author — an upstream refusal source, not a gate."
2026-09-02 21:19:21 CT,bb8b5419abcd,not recorded in log,"🔐 BOOT INTEGRITY OK — rev bb8b5419abcd · built 2026-09-03T01:50:46Z · expected bb8b5419abcd · goldens PASS","class 47 wake cadence — WARN-FIRST at this boot: cutoff 25m to session flat + cooldown 30m since last wake-authored version, cross-session claim for wakes, stale-arm expiry. ⏱ wakes boot line."
2026-09-02 21:32:52 CT,56904ec11560,not recorded in log,"🔐 BOOT INTEGRITY OK — rev 56904ec11560 · built 2026-09-03T02:29:52Z · expected 56904ec11560 · goldens PASS","no-chase leg added to the ONE entry gate — WARN-FIRST, refuses nothing: entries must be within 1.00×ATR of the level they cite AND the run from last touch ≤ 1.5×ATR5m (OR'd, unmeasurable = NULL + counted). Watchdog fire log records call age/bytes/resend outcome. 🚫 no-chase boot line."
2026-09-02 22:37:38 CT,1cee77a87f1d,not recorded in log,"🔐 BOOT INTEGRITY OK — rev 1cee77a87f1d · built 2026-09-03T02:38:05Z · expected 1cee77a87f1d · goldens PASS","class 50 weekly REFS-ONLY: the weekly doc may no longer carry a direction — validator REJECTS directional tokens; W4 invalidation watch and F5 DOA stamp RETIRED; WEEKLY-COUNTER + draw-align shadows pinned neutral. class 50b dual bias label. Removes two gates, adds a validator restriction."
2026-09-02 22:41:58 CT,60f214d988bc,not recorded in log,"🔐 BOOT INTEGRITY OK — rev 60f214d988bc · built 2026-09-03T03:38:48Z · expected 60f214d988bc · goldens PASS","void-parity: ONE resolver for the void scope, session-day window / 1m×2000, shared by prompt AND validator (they had different windows before). 📜 void scope boot line. Narrows what the model may author, changes no gate threshold."
2026-09-02 23:24:56 CT,33de2bef900d,not recorded in log,"🔐 BOOT INTEGRITY OK — rev 33de2bef900d · built 2026-09-03T03:46:11Z · expected 33de2bef900d · goldens PASS","class 52 no-trade band: ONE definition of first-N (5m) and lunch (12:00–13:30 CT) read by gate + grader + card; T1 taken from the enforcing gate at plan time; every window judged against the READER's clock. 🗓 no-trade band boot line."
2026-09-03 10:28:29 CT,528edd78e3b9,not recorded in log,"🔐 BOOT INTEGRITY OK — rev 528edd78e3b9 · built 2026-09-03T15:27:07Z · expected 528edd78e3b9 · goldens PASS","COMBINED BOOT 1 (marker 75d923eb). Merged: attribution integrity (era boundary named + CT not UTC), void-chop render, no-trade-band rider, entrygate ATR5m ONE resolver, bar-arbiter, trade-excursions (class 56), hygiene. Wake cutoffs PROMOTED WARN→ENFORCE. Build tree ~/cleanclone."
2026-09-03 11:10:33 CT,f478ed880dc9,not recorded in log,"🔐 BOOT INTEGRITY OK — rev f478ed880dc9 · built 2026-09-03T16:07:06Z · expected f478ed880dc9 · goldens PASS","COMBINED BOOT 2 (marker 67ff5e9c). NEW GATES: EntryGate leg 0 plan_mode=STRICT (first implementation — market entries refused outright, arm path must cite a scenario whose authored direction matches) and leg 3 INVALIDATION (the evaluator's own ≈invalidated verdict REFUSES an arm; unresolved = pass + a line). Also wake cooldown exempted by fast market (cutoff NOT exempted). Build tree ~/cc2."
2026-09-03 14:18:26 CT,f478ed880dc9,not recorded in log,"🔐 BOOT INTEGRITY OK — rev f478ed880dc9 · built 2026-09-03T16:07:06Z · expected f478ed880dc9 · goldens PASS","RESTART of the same rev — no code delta, no gate added. *** THE ONLY OUTAGE IN THE TWO DAYS ***: the previous process stopped logging at 12:23:33 CT and this banner is at 14:18:24 CT — 1h54m51s of total silence. `uptime -s` = 2026-09-03 14:02:26 CT, so the HOST rebooted inside that window (1h38m53s host-down, then 15m58s host-up-with-no-bot). No panic/ERRO precedes the stop; journald retains nothing before 18:21:48 CT, so the trigger cannot be distinguished."
2026-09-03 14:59:03 CT,8d47cc2108f8,not recorded in log,"🔐 BOOT INTEGRITY OK — rev 8d47cc2108f8 · built 2026-09-03T19:55:23Z · expected 8d47cc2108f8 · goldens PASS","COMBINED BOOT 3 (marker 5ebeb5a2). NEW GATE: EntryGate leg 7 — ONE OPEN POSITION PER INSTRUMENT, no adds, no flips, either side, any plan version (replaces class-27 one-live-ARM which refused only the opposite side). Also: case-fold fix on the armed-fill side lookup, fill_quantity stamps on the pending path, adherence reset keys + canonical casing, clock seam for the wake cutoff. Build tree ~/cc3."
