check,method,result,label
worktree_text_vs_deployed_rev,"git diff 70af663d -- kernel/breakdown_continue.go kernel/min_sl.go",EMPTY (byte-identical),[A]
citation_86_93,"awk lines 86-93","func bdMinSLATR :86 / return 1.0 :92 / } :93 — EXACT",[A]
citation_281_284,"awk lines 281-284","arm stop distance gate inside ValidateBreakdownContinueScenarios(:213) — EXACT",[A]
resolved_BD_MIN_SL_ATR,"/proc/878451/environ (11 vars, no BD_*) + grep -nE '^ *BD_MIN_SL_ATR=' /home/hoang/nofx/.env (exit 1) + godotenv.Load main.go:38",1.0 (code default breakdown_continue.go:92),[A]
resolution_method_crossvalidated,"MIN_SL_ATR_MULT also absent from .env; boot prints 'min-sl guard: atr_mult=1.5' = min_sl.go:34 const","absent->code-default path PROVEN",[A]
declared_floor,"kernel/min_sl.go:34 const MinSLATRMultDefault",1.5,[A]
belief_census_row,"grep BD_MIN_SL / breakdown in 2026-09-02-belief-census.md (ee64a494)","ABSENT: B1=BD_MIN_DISP(:41) B2=BD_MAX_PULLBACK/CLOSES/LEVEL_DIST(:42); B6(:46)=kernel/min_sl.go NOT this rule",[A]
knob_census_row,"2026-08-30-knob-census.md:44 (741bfc2a)","BD_MIN_SL_ATR | 1.0 | breakdown_continue.go | [C]; legend :14 [C]=code-canon no citation",[A]
production_callers_live,"grep -rn ValidateBreakdownContinueScenarios --include=*.go","1 LIVE: trader/auto_trader_planner.go:1722 (REJECT->continue->3-attempt fail-closed)",[A]
production_callers_dormant,"trader/rootfix_shadow_ab.go:159 in shadowVerdictFor","gated by ShadowABEnabled() SHADOW_AB_ENABLED default OFF (:31-32), absent from .env",[A]
second_floor_same_function,"trader/auto_trader_planner.go:1681 ArmFeasibilityWarnings(kernel.MinSLATRMult()=1.5)","WARN only (kernel/plan_doc.go:578-580), 41 lines ABOVE the 1.0 REJECT at :1722",[A]
arm_seam_floor,"trader/armed_executor.go:1361 dist < kernel.MinSLATRMult()*atr5m",1.5 REFUSE at arm time,[A]
atr_source_divergence,"planner:1676-1679 FuturesBarsProvider 5m ATR14 vs :1722 StaleConfirmATR5m(bdScope.Bars) 1m->5m session-day (plan_confirm.go:139-148)",two ATR5m windows,[A]
bite_reject_table,"sqlite3 ro: planner_rejected_prompts n=55 2026-09-01..09-04","0/55 match '%respect min-SL%'; 32/55 are other legs of the SAME validator",[A]
bite_plan_corpus,"json_each over plans n=251 (2026-08-15..09-04)","3 breakdown/breakup scenarios total, ALL 3 have no arm key -> :271 guard never passed",[A]
bite_armed_scenarios,"json_each arm.enabled=1 by condition","reject 94, sweep_reclaim 22, breakout_retest 10, reclaim 1, breakdown/breakup 0",[A]
bite_armed_orders,"armed_orders n=39 by condition","sweep_reclaim 1, reject 1, blank 37 — no breakdown-class row ever",[A]
extra_defect_stale_comment,"kernel/min_sl.go:42-43 doc says 'default 1.0' while :34 const = 1.5",stale in-file comment,[A]
